approve,issue_slug,issue_title,date,page,score,candidate_highlight
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_005,8,"aa J , | es |Melius Wins Cedarburg’s _"
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,front_cover,5,"4 s os : “ ans EO rts CC Pa., continued his record smg-."
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,front_cover,5,® eS as a Bob EAP 8 tl in winning the pole positisn.
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_005,5,", time since 1937. . Entrop’s record performance culminated six || 88 8 0 0 8 RG"
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_005,5,tract aegis UC Opecia Second Feature Event
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_005,5,"year, when the 88 miler is com-| ayailable for. both the Winne- and TRUCKS g ger af. Pp"
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_006,5,"“event, Barzda and Tearing| TIONAL CHAMPIONSHIP 20.. Bobby Veith, Oakland, ; tag 8"
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_006,5,"OP eg pe Oo Champion Sp.\Plg. $50; Fire-j] “70 o,. tl"
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_007,5,"pany all a order: to Hery ar rsall, N y No e feature this 21 f oad Ameri run off ° UL."
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_007,5,"2 : : Paani Wis., a Nystrom, Gate i ee Winkiey: ‘s ="
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_004,4,So atch tom Bie comnatition (22 the. near record’ time of 1| 1959 Point Standings as of Jade Not Born i Sa ys L - Ro. oa |:
,1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,page_004,3,Drag __[attersall Takes Feature AIDS ||[MorOR MAIDS
,1959-06-17-issue-3,"Midwest Racing News - June 17, 1959",1959-06-17,page_002,8,Eddie Stillman Duplicates | tey veticer”cona'eaity r-| MELIUS WINS SECOND —
,1959-06-17-issue-3,"Midwest Racing News - June 17, 1959",1959-06-17,page_007,8,VrRToements | L iti : WILHELMIE WINS |
,1959-06-17-issue-3,"Midwest Racing News - June 17, 1959",1959-06-17,front_cover,5,fee Cf CCsCé#N tinued his. winning streak here -
,1959-06-17-issue-3,"Midwest Racing News - June 17, 1959",1959-06-17,front_cover,5,a hd em 2 [fourth feature —ra0g Sunday
