issue,page,status,error
1959-06-03-issue-1,front_cover.jpg,ocr created,
1959-06-03-issue-1,page_002.jpg,ocr created,
1959-06-03-issue-1,page_003.jpg,ocr created,
1959-06-03-issue-1,page_004.jpg,ocr created,
1959-06-03-issue-1,page_005.jpg,ocr created,
1959-06-03-issue-1,page_006.jpg,ocr created,
1959-06-03-issue-1,page_007.jpg,ocr created,
1959-06-03-issue-1,back_cover.jpg,ocr created,
1959-06-10-issue-2,front_cover.jpg,ocr created,
1959-06-10-issue-2,page_002.jpg,ocr created,
1959-06-10-issue-2,page_003.jpg,ocr created,
1959-06-10-issue-2,page_004.jpg,ocr created,
1959-06-10-issue-2,page_005.jpg,ocr created,
1959-06-10-issue-2,page_006.jpg,ocr created,
1959-06-10-issue-2,page_007.jpg,ocr created,
1959-06-10-issue-2,back_cover.jpg,ocr created,
1959-06-17-issue-3,front_cover.jpg,ocr created,
1959-06-17-issue-3,page_002.jpg,ocr created,
1959-06-17-issue-3,page_003.jpg,ocr created,
1959-06-17-issue-3,page_004.jpg,ocr created,
1959-06-17-issue-3,page_005.jpg,ocr created,
1959-06-17-issue-3,page_006.jpg,ocr created,
1959-06-17-issue-3,page_007.jpg,ocr created,
1959-06-17-issue-3,back_cover.jpg,ocr created,
1959-06-24-issue-4,front_cover.jpg,ocr created,
1959-06-24-issue-4,page_002.jpg,ocr created,
1959-06-24-issue-4,page_003.jpg,ocr created,
1959-06-24-issue-4,page_004.jpg,ocr created,
1959-06-24-issue-4,page_005.jpg,ocr created,
1959-06-24-issue-4,page_006.jpg,ocr created,
1959-06-24-issue-4,page_007.jpg,ocr created,
1959-06-24-issue-4,back_cover.jpg,ocr created,
1959-07-01-issue-5,front_cover.jpg,ocr created,
1959-07-01-issue-5,page_002.jpg,ocr created,
1959-07-01-issue-5,page_003.jpg,ocr created,
1959-07-01-issue-5,page_004.jpg,ocr created,"Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!"
1959-07-01-issue-5,page_005.jpg,ocr created,
1959-07-01-issue-5,page_006.jpg,ocr created,
1959-07-01-issue-5,page_007.jpg,ocr created,
1959-07-01-issue-5,back_cover.jpg,ocr created,
1959-07-08-issue-6,front_cover.jpg,ocr created,
1959-07-08-issue-6,page_002.jpg,ocr created,
