known_file,known_file_name,track_slug,year,driver_slug,photographer_slug,credit_type,sequence,ahash,phash,dhash,whash
C:\Users\schaf\racing-museum\public\photos\141-speedway_1972_ron-van-roy_bob-bergeron_photo_001.jpg,141-speedway_1972_ron-van-roy_bob-bergeron_photo_001.jpg,141-speedway,1972,ron-van-roy,bob-bergeron,photo,001,0000000c0e1e1bff,926aed19936ca49b,040b043d7838f2f2,0001060e3e3effff
C:\Users\schaf\racing-museum\public\photos\141-speedway_1976_jj-smith_dick-jepsen_photo_001.jpg,141-speedway_1976_jj-smith_dick-jepsen_photo_001.jpg,141-speedway,1976,jj-smith,dick-jepsen,photo,001,07010d4f7d3f7f8f,98223fc63c843ff1,1ddbd595b1f9d839,0701050f7d1f3f8f
C:\Users\schaf\racing-museum\public\photos\141-speedway_1982_gary-beatty_weber-brothers_photo_001.jpg,141-speedway_1982_gary-beatty_weber-brothers_photo_001.jpg,141-speedway,1982,gary-beatty,weber-brothers,photo,001,fffffff100000000,efc0943e4bc1b6c8,200122c3432e92a1,fffffff920010000
C:\Users\schaf\racing-museum\public\photos\141-speedway_1982_gene-steinfeldt_weber-brothers_photo_001.jpg,141-speedway_1982_gene-steinfeldt_weber-brothers_photo_001.jpg,141-speedway,1982,gene-steinfeldt,weber-brothers,photo,001,ffffffffa7000000,eed0592f82e91c96,860034c64e7307e1,fff8ffff07000000
C:\Users\schaf\racing-museum\public\photos\141-speedway_1983_mike-neary_weber-brothers_photo_001.jpg,141-speedway_1983_mike-neary_weber-brothers_photo_001.jpg,141-speedway,1983,mike-neary,weber-brothers,photo,001,ffffdf0200000000,bea0cb0c71251ff2,078539861c272f41,ffffffc786000000
C:\Users\schaf\racing-museum\public\photos\141-speedway_1985_brian-reif_joe-slack_post_001.jpg,141-speedway_1985_brian-reif_joe-slack_post_001.jpg,141-speedway,1985,brian-reif,joe-slack,post,001,0000000cbe7e7fff,917e659dba816e88,133e6bf870f8f0d8,0000000cfffe7fff
C:\Users\schaf\racing-museum\public\photos\141-speedway_1985_bruce-conard_joe-slack_post_001.jpg,141-speedway_1985_bruce-conard_joe-slack_post_001.jpg,141-speedway,1985,bruce-conard,joe-slack,post,001,000000373f3fffff,8b307c09926ecdbb,891d416cd9f26160,000000363f3fffff
C:\Users\schaf\racing-museum\public\photos\141-speedway_1985_darrell-massart_joe-slack_post_001.jpg,141-speedway_1985_darrell-massart_joe-slack_post_001.jpg,141-speedway,1985,darrell-massart,joe-slack,post,001,00c0ff7f1e004040,95da626c95832ecd,2208f0dc76649bd5,00dcffff1e005f40
C:\Users\schaf\racing-museum\public\photos\141-speedway_1985_dave-gracyalny_joe-slack_post_001.jpg,141-speedway_1985_dave-gracyalny_joe-slack_post_001.jpg,141-speedway,1985,dave-gracyalny,joe-slack,post,001,0000000c0e7fffff,916e6e95b24a853e,878d63989cd4f8b0,0000000eee7fffff
C:\Users\schaf\racing-museum\public\photos\141-speedway_1985_george-henkel_joe-slack_post_001.jpg,141-speedway_1985_george-henkel_joe-slack_post_001.jpg,141-speedway,1985,george-henkel,joe-slack,post,001,fefefcf8780c0000,dbeca79ae430d304,60201090a078e8c0,fffefcf8780c0000
