unknown_file,unknown_file_name,best_score,best_confidence,match_1_score,match_1_file_name,match_1_track_slug,match_1_year,match_1_driver_slug,match_1_photographer_slug,match_2_score,match_2_file_name,match_2_track_slug,match_2_year,match_2_driver_slug,match_2_photographer_slug,match_3_score,match_3_file_name,match_3_track_slug,match_3_year,match_3_driver_slug,match_3_photographer_slug,match_4_score,match_4_file_name,match_4_track_slug,match_4_year,match_4_driver_slug,match_4_photographer_slug,match_5_score,match_5_file_name,match_5_track_slug,match_5_year,match_5_driver_slug,match_5_photographer_slug,suggested_track_slug,suggested_year,suggested_driver_slug,suggested_photographer_slug,review_action,final_track_slug,final_year,final_driver_slug,final_photographer_slug,final_file_name,notes
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver-old-town-eau-claire_unknown-photographer_photo_001.jpg,unknown-track_unknown-year_unknown-driver-old-town-eau-claire_unknown-photographer_photo_001.jpg,0.8256,low_clue,0.8256,141-speedway_unknown-year_steve-edler_dave-larson_post_001.jpg,141-speedway,unknown-year,steve-edler,dave-larson,0.8167,cedarburg-speedway_1956_miles-melius_dave-jensen_photo_001.jpg,cedarburg-speedway,1956,miles-melius,dave-jensen,0.8114,columbus-151-speedway_unknown-year_mike-langsdorf_john-waters_post_001.jpg,columbus-151-speedway,unknown-year,mike-langsdorf,john-waters,0.8035,darlington-speedway_1965_jim-thruman_ron-thruman_post_001.jpg,darlington-speedway,1965,jim-thruman,ron-thruman,0.8035,darlington-speedway_1968_harold-picha_ron-thruman_post_001.jpg,darlington-speedway,1968,harold-picha,ron-thruman,141-speedway,unknown-year,steve-edler,dave-larson,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_001.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_001.jpg,0.7367,very_low,0.7367,cedar-lake-speedway_unknown-year_dave-cain_unknown-photographer_photo_002.jpg,cedar-lake-speedway,unknown-year,dave-cain,unknown-photographer,0.7302,capital-super-speedway_unknown-year_unknown-driver_unknown-photographer_photo_001 (2).jpg,capital-super-speedway,unknown-year,unknown-driver,unknown-photographer,0.728,dells-motor-speedway_1981_morie-delmore_don-besch_photo_001.jpg,dells-motor-speedway,1981,morie-delmore,don-besch,0.7209,dells-motor-speedway_unknown-year_jeff-fritz_blaser_photo_001.png,dells-motor-speedway,unknown-year,jeff-fritz,blaser,0.7204,capital-super-speedway_unknown-year_ron-breese_unknown-photographer_photo_001.jpg,capital-super-speedway,unknown-year,ron-breese,unknown-photographer,cedar-lake-speedway,unknown-year,dave-cain,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_002.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_002.jpg,0.7302,very_low,0.7302,capital-super-speedway_unknown-year_ron-breese_unknown-photographer_photo_001.jpg,capital-super-speedway,unknown-year,ron-breese,unknown-photographer,0.7088,eagle-valley-speedway_unknown-year_paul-harelstad_deadra-blaser_photo_001.jpg,eagle-valley-speedway,unknown-year,paul-harelstad,deadra-blaser,0.6961,141-speedway_unknown-year_festus-lemmers_joe-verdegan_post_001.jpg,141-speedway,unknown-year,festus-lemmers,joe-verdegan,0.6947,eagle-valley-speedway_2003_kevin-adams_j-and-d_photo_001.jpg,eagle-valley-speedway,2003,kevin-adams,j-and-d,0.6937,abc-raceway_unknown-year_scott-lawrence_skip-hunter_photo_001.jpg,abc-raceway,unknown-year,scott-lawrence,skip-hunter,capital-super-speedway,unknown-year,ron-breese,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_033.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_033.jpg,0.8353,low_clue,0.8353,capital-super-speedway_unknown-year_ron-scalissi_ron-scalissi_post_001.jpg,capital-super-speedway,unknown-year,ron-scalissi,ron-scalissi,0.8162,dells-motor-speedway_unknown-year_pat-heaney_pat-heaney_post_003.jpg,dells-motor-speedway,unknown-year,pat-heaney,pat-heaney,0.8157,beaver-dam-raceway_unknown-year_jim-zwrigzdas_joe-slack_post_001.jpg,beaver-dam-raceway,unknown-year,jim-zwrigzdas,joe-slack,0.814,beaver-dam-raceway_unknown-year_tj-haferkorn_joe-slack_post_001.jpg,beaver-dam-raceway,unknown-year,tj-haferkorn,joe-slack,0.8117,capital-super-speedway_unknown-year_don-james_ron-thruman_post_001.jpg,capital-super-speedway,unknown-year,don-james,ron-thruman,capital-super-speedway,unknown-year,ron-scalissi,ron-scalissi,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_069.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_069.jpg,0.7038,very_low,0.7038,brown-county-speedway_unknown-year_unknown-driver_bob-bergeron_photo_096.jpg,brown-county-speedway,unknown-year,unknown-driver,bob-bergeron,0.7007,dells-motor-speedway_unknown-year_marv-marzofka_kurt-luoma_photo_001.jpg,dells-motor-speedway,unknown-year,marv-marzofka,kurt-luoma,0.7005,dells-motor-speedway_unknown-year_john-ziegler_unknown-photographer_photo_1342.jpg,dells-motor-speedway,unknown-year,john-ziegler,unknown-photographer,0.6945,beaver-dam-raceway_unknown-year_jim-rataczyk_michael-halbherr_post_001.jpg,beaver-dam-raceway,unknown-year,jim-rataczyk,michael-halbherr,0.6904,crandon-speedway_unknown-year_unknown-driver_putch-bentley_post_001.jpg,crandon-speedway,unknown-year,unknown-driver,putch-bentley,brown-county-speedway,unknown-year,unknown-driver,bob-bergeron,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_070.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_070.jpg,0.8834,medium,0.8834,dells-motor-speedway_1986_charlie-schwoch_unknown-photographer_photo_001.jpg,dells-motor-speedway,1986,charlie-schwoch,unknown-photographer,0.8829,dells-motor-speedway_unknown-year_unknown-driver_bob-schafer_photo_13615.jpg,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,0.8808,dells-motor-speedway_unknown-year_unknown-driver_bob-schafer_photo_13104.jpg,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,0.8786,141-speedway_unknown-year_butch-behrendt_dennis-satorius_post_001.jpg,141-speedway,unknown-year,butch-behrendt,dennis-satorius,0.8763,dells-motor-speedway_unknown-year_ken-matthews_john-alft_post_001.jpg,dells-motor-speedway,unknown-year,ken-matthews,john-alft,dells-motor-speedway,1986,charlie-schwoch,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_077.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_077.jpg,0.8961,medium,0.8961,dells-motor-speedway_1986_charlie-schwoch_unknown-photographer_photo_001.jpg,dells-motor-speedway,1986,charlie-schwoch,unknown-photographer,0.8876,dells-motor-speedway_unknown-year_mike-langsdorf_kevin-wisniewski_post_001.jpg,dells-motor-speedway,unknown-year,mike-langsdorf,kevin-wisniewski,0.8827,dells-motor-speedway_unknown-year_ken-matthews_john-alft_post_001.jpg,dells-motor-speedway,unknown-year,ken-matthews,john-alft,0.8788,dells-motor-speedway_unknown-year_pat-griffin_kurt-luoma_photo_001.jpg,dells-motor-speedway,unknown-year,pat-griffin,kurt-luoma,0.8759,dells-motor-speedway_unknown-year_rocky-breezer_bob-schafer_photo_328.jpg,dells-motor-speedway,unknown-year,rocky-breezer,bob-schafer,dells-motor-speedway,1986,charlie-schwoch,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_082.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_082.jpg,0.7195,very_low,0.7195,141-speedway_unknown-year_butch-haase_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,butch-haase,unknown-photographer,0.6945,abc-raceway_unknown-year_kurt-beeksma_kurt-gaber_post_001.jpg,abc-raceway,unknown-year,kurt-beeksma,kurt-gaber,0.6911,columbus-151-speedway_unknown-year_bob-sherman_unknown-credit_post_001.jpg,columbus-151-speedway,unknown-year,bob-sherman,unknown-credit,0.6904,crandon-speedway_unknown-year_unknown-driver_putch-bentley_post_003.jpg,crandon-speedway,unknown-year,unknown-driver,putch-bentley,0.6849,brown-county-speedway_unknown-year_gordie-sannes_pete-vercauteren_photo_001.jpg,brown-county-speedway,unknown-year,gordie-sannes,pete-vercauteren,141-speedway,unknown-year,butch-haase,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_086.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_086.jpg,0.7803,low_clue,0.7803,dells-motor-speedway_unknown-year_ted-musgrave_kurt-luoma_photo_001.jpg,dells-motor-speedway,unknown-year,ted-musgrave,kurt-luoma,0.7779,141-speedway_unknown-year_horace-haufschildt_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,horace-haufschildt,unknown-photographer,0.776,141-speedway_unknown-year_unknown_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,unknown,unknown-photographer,0.7737,dells-motor-speedway_1981_dick-trickle_doyce-eaton_photo_001.jpg,dells-motor-speedway,1981,dick-trickle,doyce-eaton,0.772,crandon-speedway_unknown-year_unknown-driver_putch-bentley_post_021.jpg,crandon-speedway,unknown-year,unknown-driver,putch-bentley,dells-motor-speedway,unknown-year,ted-musgrave,kurt-luoma,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1000.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1000.jpg,0.5895,very_low,0.5895,amherst-speedway_2013_unknown-driver_joe-verdegan_photo_001.jpg,amherst-speedway,2013,unknown-driver,joe-verdegan,0.5688,chilton-speedway_unknown-year_chilton-speedway-full-grandstan_unknown-photographer_photo_001.jpg,chilton-speedway,unknown-year,chilton-speedway-full-grandstan,unknown-photographer,0.5458,cedar-lake-speedway_unknown-year_unknown-driver_neil-miller_photo_004.jpg,cedar-lake-speedway,unknown-year,unknown-driver,neil-miller,0.5425,cedar-lake-speedway_unknown-year_unknown-driver_unknown-photographer_photo_001.jpg,cedar-lake-speedway,unknown-year,unknown-driver,unknown-photographer,0.5417,cedar-lake-speedway_unknown-year_unknown-driver_unknown-photographer_photo_002.jpg,cedar-lake-speedway,unknown-year,unknown-driver,unknown-photographer,amherst-speedway,2013,unknown-driver,joe-verdegan,,,,,,,
