unknown_file,unknown_file_name,best_distance,best_confidence,match_1_distance,match_1_file_name,match_1_track_slug,match_1_year,match_1_driver_slug,match_1_photographer_slug,match_2_distance,match_2_file_name,match_2_track_slug,match_2_year,match_2_driver_slug,match_2_photographer_slug,match_3_distance,match_3_file_name,match_3_track_slug,match_3_year,match_3_driver_slug,match_3_photographer_slug,match_4_distance,match_4_file_name,match_4_track_slug,match_4_year,match_4_driver_slug,match_4_photographer_slug,match_5_distance,match_5_file_name,match_5_track_slug,match_5_year,match_5_driver_slug,match_5_photographer_slug,suggested_track_slug,suggested_year,suggested_driver_slug,suggested_photographer_slug,review_action,final_track_slug,final_year,final_driver_slug,final_photographer_slug,final_file_name,notes
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver-old-town-eau-claire_unknown-photographer_photo_001.jpg,unknown-track_unknown-year_unknown-driver-old-town-eau-claire_unknown-photographer_photo_001.jpg,65,very_low,65,dells-motor-speedway_unknown-year_greg-holzhausen_unknown-photographer_photo_002.jpg,dells-motor-speedway,unknown-year,greg-holzhausen,unknown-photographer,71,capital-super-speedway_1978_tom-reffner_john-vass_photo_001.jpg,capital-super-speedway,1978,tom-reffner,john-vass,72,central-state-speedway_1985_bill-lindner_bob-schafer_photo_001.jpg,central-state-speedway,1985,bill-lindner,bob-schafer,73,eagle-valley-speedway_unknown-year_unknown-driver_unknown-photographer_photo_001.jpg,eagle-valley-speedway,unknown-year,unknown-driver,unknown-photographer,76,columbus-151-speedway_unknown-year_rick-smith_unknown-photographer_photo_002.jpg,columbus-151-speedway,unknown-year,rick-smith,unknown-photographer,dells-motor-speedway,unknown-year,greg-holzhausen,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_001.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_001.jpg,78,very_low,78,dells-motor-speedway_unknown-year_unknown-driver_bob-schafer_photo_032.jpg,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,85,dells-motor-speedway_unknown-year_unknown-driver_bob-schafer_photo_025.jpg,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,86,beaver-dam-raceway_unknown-year_unknown_joe-slack_photo_004.jpg,beaver-dam-raceway,unknown-year,unknown,joe-slack,86,dells-motor-speedway_1975_dave-boodle_unknown-photographer_photo_001.jpg,dells-motor-speedway,1975,dave-boodle,unknown-photographer,87,dells-motor-speedway_unknown-year_unknown-driver_bob-schafer_photo_12973.jpg,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_002.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_002.jpg,78,very_low,78,capital-super-speedway_2026_austin-nason_austin-nason_post_111.jpg,capital-super-speedway,2026,austin-nason,austin-nason,80,dells-motor-speedway_1981_joe-tyrell_don-besch_photo_001.jpg,dells-motor-speedway,1981,joe-tyrell,don-besch,83,141-speedway_2003_unknown-driver_joe-slack_post_001.jpg,141-speedway,2003,unknown-driver,joe-slack,83,central-state-speedway_1985_steve-haas_bob-schafer_photo_001.jpg,central-state-speedway,1985,steve-haas,bob-schafer,85,columbus-151-speedway_2004_jason-weinkauf_don-wendlandt_photo_122.jpg,columbus-151-speedway,2004,jason-weinkauf,don-wendlandt,capital-super-speedway,2026,austin-nason,austin-nason,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_033.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_033.jpg,67,very_low,67,dodge-county-fairgrounds_unknown-year_brian-banyaz_chad-tessman_post_001.jpg,dodge-county-fairgrounds,unknown-year,brian-banyaz,chad-tessman,70,daytona-international-speedway_unknown-year_dick-trickle_unknown-photographer_photo_101.jpg,daytona-international-speedway,unknown-year,dick-trickle,unknown-photographer,71,beaver-dam-raceway_unknown-year_unknown_michael-halbherr_post_001.jpg,beaver-dam-raceway,unknown-year,unknown,michael-halbherr,74,cedar-lake-speedway_unknown-year_craig-thatcher_unknown-photographer_photo_001.jpg,cedar-lake-speedway,unknown-year,craig-thatcher,unknown-photographer,76,columbus-151-speedway_2004_dan-schmidt_don-wendlandt_photo_122.jpg,columbus-151-speedway,2004,dan-schmidt,don-wendlandt,dodge-county-fairgrounds,unknown-year,brian-banyaz,chad-tessman,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_069.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_069.jpg,65,very_low,65,cedarburg-speedway_1979_unknown-driver_unknown-photographer_photo_001.jpg,cedarburg-speedway,1979,unknown-driver,unknown-photographer,67,columbus-151-speedway_unknown-year_wayne-swartwout_unknown-photographer_photo_001.jpg,columbus-151-speedway,unknown-year,wayne-swartwout,unknown-photographer,69,deer-creek-speedway_unknown-year_scott-paulson_missy-lushinsky_photo_001.jpg,deer-creek-speedway,unknown-year,scott-paulson,missy-lushinsky,69,dodge-county-fairgrounds_unknown-year_craig-priewe_travis-zuelsdorf-ii_photo_001.jpg,dodge-county-fairgrounds,unknown-year,craig-priewe,travis-zuelsdorf-ii,70,141-speedway_unknown-year_roger-lee_unknown-credit_post_001.jpg,141-speedway,unknown-year,roger-lee,unknown-credit,cedarburg-speedway,1979,unknown-driver,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_070.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_070.jpg,78,very_low,78,elko-speedway_unknown-year_steve-burgess_unknown-photographer_photo_012.jpg,elko-speedway,unknown-year,steve-burgess,unknown-photographer,79,beaver-dam-raceway_unknown-year_unknown_joe-slack_photo_002.jpg,beaver-dam-raceway,unknown-year,unknown,joe-slack,79,capital-super-speedway_1984_dale-weyer_weber-brothers_photo_001.jpg,capital-super-speedway,1984,dale-weyer,weber-brothers,79,chilton-speedway_unknown-year_karly-stadler_unknown-photographer_photo_001.jpg,chilton-speedway,unknown-year,karly-stadler,unknown-photographer,80,capital-super-speedway_unknown-year_steve-moll_pat-heaney_post_001.jpg,capital-super-speedway,unknown-year,steve-moll,pat-heaney,elko-speedway,unknown-year,steve-burgess,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_077.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_077.jpg,82,very_low,82,dells-motor-speedway_2022_aaron-olson_unknown-photographer_photo_001.jpg,dells-motor-speedway,2022,aaron-olson,unknown-photographer,85,dells-motor-speedway_unknown-year_don-turner_bob-schafer_photo_14241.jpg,dells-motor-speedway,unknown-year,don-turner,bob-schafer,86,amherst-speedway_2013_jay-stone_unknown-photographer_photo_231.jpg,amherst-speedway,2013,jay-stone,unknown-photographer,87,columbus-151-speedway_1990_roger-bielke_bob-schafer_photo_222.jpg,columbus-151-speedway,1990,roger-bielke,bob-schafer,88,cedar-lake-speedway_1990_jon-kurshinsky_todd-narveson_photo_001.jpg,cedar-lake-speedway,1990,jon-kurshinsky,todd-narveson,dells-motor-speedway,2022,aaron-olson,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_082.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_082.jpg,70,very_low,70,dells-motor-speedway_unknown-year_unknown-driver_bob-schafer_photo_12973.jpg,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,76,dells-motor-speedway_unknown-year_rick-nelson_bob-schafer_photo_12966.jpg,dells-motor-speedway,unknown-year,rick-nelson,bob-schafer,78,141-speedway_unknown-year_jack-hardy_joe-verdegan_post_001.jpg,141-speedway,unknown-year,jack-hardy,joe-verdegan,84,beaver-dam-raceway_unknown-year_gary-buzzell_michael-halbherr_post_001.jpg,beaver-dam-raceway,unknown-year,gary-buzzell,michael-halbherr,85,brown-county-speedway_1978_dave-valentyne_joe-verdegan_post_001.jpg,brown-county-speedway,1978,dave-valentyne,joe-verdegan,dells-motor-speedway,unknown-year,unknown-driver,bob-schafer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_086.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_086.jpg,67,very_low,67,141-speedway_unknown-year_horace-haufschildt_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,horace-haufschildt,unknown-photographer,70,columbus-151-speedway_unknown-year_jon-hornby_unknown-photographer_photo_001.jpg,columbus-151-speedway,unknown-year,jon-hornby,unknown-photographer,70,columbus-151-speedway_unknown-year_rich-zickert_unknown-photographer_photo_001.jpg,columbus-151-speedway,unknown-year,rich-zickert,unknown-photographer,71,dells-motor-speedway_unknown-year_ted-musgrave_kurt-luoma_photo_001.jpg,dells-motor-speedway,unknown-year,ted-musgrave,kurt-luoma,73,fox-ridge-speedway_2002_chris-oertel_missy-lushinsky_photo_001.jpg,fox-ridge-speedway,2002,chris-oertel,missy-lushinsky,141-speedway,unknown-year,horace-haufschildt,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1000.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1000.jpg,95,very_low,95,dells-motor-speedway_1975_doug-strasburg_unknown-photographer_photo_001.jpg,dells-motor-speedway,1975,doug-strasburg,unknown-photographer,95,eagle-valley-speedway_unknown-year_jerry-redetzke_deadra-blaser_photo_001.jpg,eagle-valley-speedway,unknown-year,jerry-redetzke,deadra-blaser,99,brown-county-speedway_unknown-year_bill-foster_joe-verdegan_post_001.jpg,brown-county-speedway,unknown-year,bill-foster,joe-verdegan,99,cedar-lake-speedway_1990_larry-stockwell_bob-schafer_photo_12605.jpg,cedar-lake-speedway,1990,larry-stockwell,bob-schafer,99,columbus-151-speedway_unknown-year_unknown-driver_bob-schafer_photo_13687.jpg,columbus-151-speedway,unknown-year,unknown-driver,bob-schafer,dells-motor-speedway,1975,doug-strasburg,unknown-photographer,,,,,,,
