event_slug,series_event_id,season_id,race_number,track_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
2001-marvelous-marv-91,,41,1,69,1,,,14573,Kirby Kurth,kirby-kurth,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,2,,,11624,Jesse Haase,jesse-haase,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,3,,,3215,Bryan Roach,bryan-roach,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,5,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,6,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,7,,,1124,Benjamin Brinkman,benjamin-brinkman,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,8,,,516,Allen Check,allen-check,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,9,,,19122,Rick Corso,rick-corso,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,10,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,11,,,7519,Doug Drost,doug-drost,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,12,,,15347,Leroy Pettis,leroy-pettis,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,13,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,14,,,17569,Neil Knoblock,neil-knoblock,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,15,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,16,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,17,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,18,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,19,,,8715,Gary Back,gary-back,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,20,,,null,Scott Beyer,scott-beyer,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,21,,,12450,Joe Fischer,joe-fischer,,,,,,,feature,
2001-marvelous-marv-91,,41,1,69,22,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2001-reffner-race-88,,41,2,69,1,,,14573,Kirby Kurth,kirby-kurth,,,,,,,feature,
2001-reffner-race-88,,41,2,69,2,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2001-reffner-race-88,,41,2,69,3,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2001-reffner-race-88,,41,2,69,4,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
2001-reffner-race-88,,41,2,69,5,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2001-reffner-race-88,,41,2,69,6,,,516,Allen Check,allen-check,,,,,,,feature,
2001-reffner-race-88,,41,2,69,7,,,19001,"Rich Schumann, Jr.",rich-schumann-jr,,,,,,,feature,
2001-reffner-race-88,,41,2,69,8,,,8715,Gary Back,gary-back,,,,,,,feature,
2001-reffner-race-88,,41,2,69,9,,,14484,Kevin Peterson WI,kevin-peterson,,,,,,,feature,
2001-reffner-race-88,,41,2,69,10,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
2001-reffner-race-88,,41,2,69,11,,,1124,Benjamin Brinkman,benjamin-brinkman,,,,,,,feature,
2001-reffner-race-88,,41,2,69,12,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2001-reffner-race-88,,41,2,69,13,,,16295,Matt Kocourek,matt-kocourek,,,,,,,feature,
2001-reffner-race-88,,41,2,69,14,,,3355,Burton Brown,burton-brown,,,,,,,feature,
