series_id,season_id,event_id,race_number,race_date,track_name,track_id,winner_name,winner_driver_id,source_url,event_slug
3,41,,1,2001-07-08,Golden Sands Speedway,69,,,,2001-marvelous-marv-91
3,41,,2,2001-08-05,Golden Sands Speedway,69,,,,2001-reffner-race-88
3,41,,3,2001-09-03,Dells Motor Speedway,49,,,,2001-dick-trickle-99
3,42,,1,2002-05-05,Columbus 151 Speedway,41,,,,2002-spring-fling-75
3,42,,2,2002-05-19,Golden Sands Speedway,69,,,,2002-ice-breaker-75
3,42,,3,2002-05-26,Marshfield Super Speedway,119,,,,2002-memorial-75
3,42,,4,2002-06-27,State Park Speedway,193,,,,2002-larry-detjens-memorial
3,42,,5,2002-07-03,Dells Motor Speedway,49,,,,2002-north-american-cup
3,42,,6,2002-08-11,Golden Sands Speedway,69,,,,2002-legends-75
3,42,,7,2002-09-02,Dells Motor Speedway,49,,,,2002-championship-100
3,43,,1,2003-04-12,Dells Motor Speedway,49,,,,2003-charter-communications-100
3,43,,2,2003-05-04,Columbus 151 Speedway,41,,,,2003-spring-fling-100
3,43,,3,2003-05-26,Golden Sands Speedway,69,,,,2003-memorial-100
3,43,,4,2003-06-07,Marshfield Super Speedway,119,,,,2003-dairy-days-75
3,43,,5,2003-06-26,State Park Speedway,193,,,,2003-larry-detjens-memorial
3,43,,6,2003-07-03,Dells Motor Speedway,49,,,,2003-north-american-cup
3,43,,7,2003-07-27,141 Speedway,1,,,,2003-creek-classic-100
3,43,,8,2003-08-07,Marshfield Super Speedway,119,,,,2003-marshfield-75
3,43,,9,2003-08-18,Lake Geneva Raceway,105,,,,2003-geneva-challenge-100
3,43,,10,2003-09-05,Golden Sands Speedway,69,,,,2003-championship-100
3,44,,1,2004-04-10,Dells Motor Speedway,49,,,,2004-spring-thaw-100
3,44,,2,2004-05-31,Golden Sands Speedway,69,,,,2004-memorial-100
3,44,,3,2004-06-06,Jefferson Speedway,89,,,,2004-first-supply-100
3,44,,4,2004-06-19,Marshfield Super Speedway,119,,,,2004-thomas-electric-75
3,44,,5,2004-07-25,141 Speedway,1,,,,2004-creek-classic-100
3,44,,6,2004-07-30,Golden Sands Speedway,69,,,,2004-sands-100
3,44,,7,2004-08-15,Columbus 151 Speedway,41,,,,2004-spring-fling-redeux
3,44,,8,2004-09-11,Marshfield Super Speedway,119,,,,2004-rainbow-bingo-and-casino-championship-80
3,45,,1,2005-04-09,Dells Motor Speedway,49,,,,2005-new-beginnings-100-presented-by-pickett-septic
3,45,,2,2005-05-15,Wisconsin International Raceway,217,,,,2005-bud-spring-classic
3,45,,3,2005-05-21,Jefferson Speedway,89,,,,2005-star-packaging-100
3,45,,4,2005-05-29,Golden Sands Speedway,69,,,,2005-memorial-100
3,45,,5,2005-06-21,Wisconsin International Raceway,217,,,,2005-fmp-all-star-challenge
3,45,,6,2005-07-02,Dells Motor Speedway,49,,,,2005-north-american-cup
3,45,,7,2005-07-16,Marshfield Super Speedway,119,,,,2005-thomas-electric-80
3,45,,8,2005-07-29,Golden Sands Speedway,69,,,,2005-power-playground-100
3,45,,9,2005-09-10,Marshfield Super Speedway,119,,,,2005-championship-80
3,46,,1,2006-04-02,Rockford Speedway,174,,,,2006-spring-classic-presented-by-international-truck-and-yellow-book
3,46,,2,2006-05-07,Capital Super Speedway,31,,,,2006-miller-classic-100
3,46,,3,2006-05-21,Wisconsin International Raceway,217,,,,2006-budweiser-wapl-spring-classic
3,46,,4,2006-05-29,Golden Sands Speedway,69,,,,2006-memorial-100
3,46,,5,2006-07-02,Dells Motor Speedway,49,,,,2006-north-american-cup
3,46,,6,2006-07-15,Marshfield Super Speedway,119,,,,2006-earth-inc-v-and-h-heavy-truck-mansfield-80
3,46,,7,2006-07-29,Golden Sands Speedway,69,,,,2006-power-playground-100
3,46,,8,2006-08-19,Wisconsin International Raceway,217,,,,2006-blue-race-overall
3,46,,9,2006-08-27,Milwaukee Mile,125,,,,2006-governors-cup-50
3,46,,10,2006-09-08,Capital Super Speedway,31,,,,2006-bryden-motors-100
3,46,,11,2006-09-16,Marshfield Super Speedway,119,,,,2006-wcs-championship-80
3,47,,1,2007-04-15,Rockford Speedway,174,,,,2007-spring-classic
3,47,,2,2007-05-06,Capital Super Speedway,31,,,,2007-pepsi-100
3,47,,3,2007-05-12,Dells Motor Speedway,49,,,,wcs-2007-03
3,47,,4,2007-05-28,Golden Sands Speedway,69,,,,2007-memorial-100
3,47,,5,2007-06-09,Wisconsin International Raceway,217,,,,2007-red-race-no-1
3,47,,6,2007-06-09,Wisconsin International Raceway,217,,,,2007-red-race-no-2
3,47,,7,2007-06-30,Dells Motor Speedway,49,,,,2007-north-american-cup
3,47,,8,2007-07-14,Marshfield Super Speedway,119,,,,2007-v-and-h-heavy-truck-80
3,47,,9,2007-07-27,Golden Sands Speedway,69,,,,2007-mccain-food-sands-100
3,47,,10,2007-09-07,Capital Super Speedway,31,,,,2007-tribute-to-america-100
3,47,,11,2007-09-15,Marshfield Super Speedway,119,,,,2007-championship-80
3,48,,1,2008-05-26,Golden Sands Speedway,69,,,,2008-memorial-100
3,48,,2,2008-06-14,Wisconsin International Raceway,217,,,,2008-red-race
3,48,,3,2008-07-05,Dells Motor Speedway,49,,,,2008-north-american-cup
3,48,,4,2008-07-19,Wisconsin International Raceway,217,,,,2008-white-race
3,48,,5,2008-08-01,Golden Sands Speedway,69,,,,2008-larry-detjens-memorial
3,48,,6,2008-08-23,Marshfield Super Speedway,119,,,,2008-waxx-104-5-budweiser-80
3,49,,1,2009-05-25,Golden Sands Speedway,69,,,,2009-memorial-100-wcs
3,49,,2,2009-06-13,Marshfield Super Speedway,119,,,,2009-nasonville-dairy-webers-farm-store-80
3,49,,3,2009-07-04,Dells Motor Speedway,49,,,,2009-north-american-cup-sponsored-by-3d-construction-and-great-lakes-components
3,49,,4,2009-07-31,Golden Sands Speedway,69,,,,2009-larry-detjens-memorial
3,49,,5,2009-09-13,Marshfield Super Speedway,119,,,,2009-wcs-championship-80
3,50,,1,2017-06-01,State Park Speedway,193,,,,wcs-2017-01
3,50,,2,2017-06-24,Dells Motor Speedway,49,,,,wcs-2017-02
3,50,,3,2017-07-14,Golden Sands Speedway,69,,,,wcs-2017-03
3,50,,4,2017-08-19,Marshfield Super Speedway,119,,,,wcs-2017-04
