id,series_id,year,season_name
41,3,2001,2001 Wisconsin Challenge Series
42,3,2002,2002 Wisconsin Challenge Series
43,3,2003,2003 Wisconsin Challenge Series
44,3,2004,2004 Wisconsin Challenge Series
45,3,2005,2005 Wisconsin Challenge Series
46,3,2006,2006 Wisconsin Challenge Series
47,3,2007,2007 Wisconsin Challenge Series
48,3,2008,2008 Wisconsin Challenge Series
49,3,2009,2009 Wisconsin Challenge Series
50,3,2017,2017 Wisconsin Challenge Series
51,3,2018,2018 Wisconsin Challenge Series
52,3,2019,2019 Wisconsin Challenge Series
