table_index,cell_count,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8
0,2,Wisconsin Challenge Series Viewing Series Seasons View Also: Seasons - Drivers - All-Time W - T5 - T10 - Track Lists - Misc. Info on Right,,,,,,,
1,1,Series Overview,,,,,,,
1,1,Alternatively Known As: {{{FormerlyKnown}}},,,,,,,
1,2,Series Founded: 2001,Series active!,,,,,,
1,2,Car Style: Late Model,Region: Wisconsin,,,,,,
1,1,Quick Stats,,,,,,,
1,2,Most Wins: Nathan Haseleu (10),Most Titles: Nathan Haseleu & Mark Eswein (3),,,,,,
1,2,Number of Races: 81,Number of Drivers: 376,,,,,,
1,1,Project Status : Complete,,,,,,,
1,1,The series was dormant between 2010 and 2016.,,,,,,,
2,5,Season,Races,Champion,Margin,Most Wins,,,
2,5,2001,3,Mark Eswein,+4,Kirby Kurth (2),,,
2,5,2002,7,Gary Back,+7,Seven Drivers (1),,,
2,5,2003,10,Erik Darnell,+96,Erik Darnell (3),,,
2,5,2004,8,Mark Eswein,+79,Adam Royle & Charlie Menard (2),,,
2,5,2005,9,Nathan Haseleu,+180,Nathan Haseleu (3),,,
2,5,2006,11,Nathan Haseleu,+38,Nathan Haseleu (4),,,
2,5,2007,11,Nathan Haseleu,+39,Nathan Haseleu (2),,,
2,5,2008,6,Steve Holzhausen,+23,No repeat winners,,,
2,5,2009,5,Mark Eswein,+41,No repeat winners,,,
2,5,2017,4,Chris Weinkauf,+24,Chris Weinkauf (2),,,
2,5,2018,4,Ryan Farrell,+19,No repeat winners,,,
2,5,2019,3,John Beale,+13,John Beale (2),,,
