series_slug,season_year,finishing_position,driver_name,driver_slug_guess,points,starts,wins,top5,top10,poles
wisconsin-challenge-series,2001,1,Mark Eswein,mark-eswein,364,3,0,3,3,
wisconsin-challenge-series,2001,2,Kenny Reiser,kenny-reiser,360,3,0,1,3,
wisconsin-challenge-series,2001,3,Allen Check,allen-check,314,3,0,1,3,
wisconsin-challenge-series,2001,4,Kirby Kurth,kirby-kurth,309,2,2,2,2,
wisconsin-challenge-series,2001,5,Jesse Haase,jesse-haase,299,3,0,1,2,
wisconsin-challenge-series,2001,6,Bryan Roach,bryan-roach,270,3,0,1,1,
wisconsin-challenge-series,2001,7,Jeremy Lepak,jeremy-lepak,262,3,0,1,1,
wisconsin-challenge-series,2001,8,Gary Back,gary-back,240,3,0,0,1,
wisconsin-challenge-series,2001,9,Benjamin Brinkman,benjamin-brinkman,228,2,0,0,1,
wisconsin-challenge-series,2001,10,Burton Brown,burton-brown,226,2,0,0,0,
wisconsin-challenge-series,2001,11,Kyle Kinder,kyle-kinder,217,2,0,1,2,
wisconsin-challenge-series,2001,12,Jeff Weinfurter,jeff-weinfurter,202,3,0,0,0,
wisconsin-challenge-series,2001,13,Tony Strupp,tony-strupp,201,2,0,0,1,
wisconsin-challenge-series,2001,13,Jason Weinkauf,jason-weinkauf,201,3,0,0,0,
wisconsin-challenge-series,2001,15,Matt Kocourek,matt-kocourek,172,2,0,0,0,
wisconsin-challenge-series,2001,16,Rick Corso,rick-corso,169,2,0,0,1,
wisconsin-challenge-series,2001,17,Judd Brandl,judd-brandl,164,1,0,1,1,
wisconsin-challenge-series,2001,18,Joe Krzykowski,joe-krzykowski,159,2,0,0,0,
wisconsin-challenge-series,2001,19,Frank Kreyer,frank-kreyer,152,2,0,0,0,
wisconsin-challenge-series,2001,20,Kevin Peterson,kevin-peterson,151,2,0,0,1,
wisconsin-challenge-series,2001,21,Rocky Breezer,rocky-breezer,143,1,1,1,1,
wisconsin-challenge-series,2001,22,Frank Nitzke,frank-nitzke,134,0,0,0,0,
