series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_title,race_slug_guess,museum_event_slug_guess,race_url,track_display,track_name_from_url,track_slug_guess,museum_track_slug,track_slug_match_status,track_url,winner_name,winner_slug_guess,museum_winner_driver_slug,driver_slug_match_status,winner_url,source_name,source_url,source_file,import_status,review_notes
wisconsin-challenge-series,Wisconsin Challenge Series,2001,1,2001-07-08,8 July 2001,Marvelous Marv 91,2001-marvelous-marv-91,wisconsin-challenge-series-2001-01-marvelous-marv-91,https://www.thethirdturn.com/wiki/2001_Marvelous_Marv_91,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kirby Kurth,kirby-kurth,kirby-kurth,mapped,https://www.thethirdturn.com/wiki/Kirby_Kurth,The Third Turn,https://www.thethirdturn.com/wiki/2001_Marvelous_Marv_91,2001_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2001,2,2001-08-05,5 August 2001,Reffner Race 88,2001-reffner-race-88,wisconsin-challenge-series-2001-02-reffner-race-88,https://www.thethirdturn.com/wiki/2001_Reffner_Race_88,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kirby Kurth,kirby-kurth,kirby-kurth,mapped,https://www.thethirdturn.com/wiki/Kirby_Kurth,The Third Turn,https://www.thethirdturn.com/wiki/2001_Reffner_Race_88,2001_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2001,3,2001-09-03,3 September 2001,Dick Trickle 99,2001-dick-trickle-99,wisconsin-challenge-series-2001-03-dick-trickle-99,https://www.thethirdturn.com/wiki/2001_Dick_Trickle_99,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Rocky Breezer,rocky-breezer,rocky-breezer,mapped,https://www.thethirdturn.com/wiki/Rocky_Breezer,The Third Turn,https://www.thethirdturn.com/wiki/2001_Dick_Trickle_99,2001_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,1,2002-05-05,5 May 2002,Spring Fling 75,2002-spring-fling-75,wisconsin-challenge-series-2002-01-spring-fling-75,https://www.thethirdturn.com/wiki/2002_Spring_Fling_75,"Columbus, WI",Columbus 151 Speedway,columbus-151-speedway,columbus-151-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Columbus_151_Speedway,Burton Brown,burton-brown,burton-brown,mapped,https://www.thethirdturn.com/wiki/Burton_Brown,The Third Turn,https://www.thethirdturn.com/wiki/2002_Spring_Fling_75,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,2,2002-05-19,19 May 2002,Ice Breaker 75,2002-ice-breaker-75,wisconsin-challenge-series-2002-02-ice-breaker-75,https://www.thethirdturn.com/wiki/2002_Ice_Breaker_75,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Nathan Haseleu,nathan-haseleu,nathan-haseleu,mapped,https://www.thethirdturn.com/wiki/Nathan_Haseleu,The Third Turn,https://www.thethirdturn.com/wiki/2002_Ice_Breaker_75,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,3,2002-05-26,26 May 2002,Memorial 75,2002-memorial-75,wisconsin-challenge-series-2002-03-memorial-75,https://www.thethirdturn.com/wiki/2002_Memorial_75,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Gary Back,gary-back,gary-back,mapped,https://www.thethirdturn.com/wiki/Gary_Back,The Third Turn,https://www.thethirdturn.com/wiki/2002_Memorial_75,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,4,2002-06-27,27 June 2002,Larry Detjens Memorial,2002-larry-detjens-memorial,wisconsin-challenge-series-2002-04-larry-detjens-memorial,https://www.thethirdturn.com/wiki/2002_Larry_Detjens_Memorial,"Wausau, WI",State Park Speedway,state-park-speedway,state-park-speedway-wi,mapped,https://www.thethirdturn.com/wiki/State_Park_Speedway,Scott Wimmer,scott-wimmer,scott-wimmer,mapped,https://www.thethirdturn.com/wiki/Scott_Wimmer,The Third Turn,https://www.thethirdturn.com/wiki/2002_Larry_Detjens_Memorial,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,5,2002-07-03,3 July 2002,North American Cup,2002-north-american-cup,wisconsin-challenge-series-2002-05-north-american-cup,https://www.thethirdturn.com/wiki/2002_North_American_Cup,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Jeff Kendall,jeff-kendall,jeff-kendall,mapped,https://www.thethirdturn.com/wiki/Jeff_Kendall,The Third Turn,https://www.thethirdturn.com/wiki/2002_North_American_Cup,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,6,2002-08-11,11 August 2002,Legends 75,2002-legends-75,wisconsin-challenge-series-2002-06-legends-75,https://www.thethirdturn.com/wiki/2002_Legends_75,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Weinfurter,jeff-weinfurter,jeff-weinfurter,mapped,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,The Third Turn,https://www.thethirdturn.com/wiki/2002_Legends_75,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2002,7,2002-09-02,2 September 2002,Championship 100,2002-championship-100,wisconsin-challenge-series-2002-07-championship-100,https://www.thethirdturn.com/wiki/2002_Championship_100,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Kyle Kinder,kyle-kinder,kyle-kinder,mapped,https://www.thethirdturn.com/wiki/Kyle_Kinder,The Third Turn,https://www.thethirdturn.com/wiki/2002_Championship_100,2002_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,1,2003-04-12,12 April 2003,Charter Communications 100,2003-charter-communications-100,wisconsin-challenge-series-2003-01-charter-communications-100,https://www.thethirdturn.com/wiki/2003_Charter_Communications_100,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Kevin Brescia,kevin-brescia,kevin-brescia,mapped,https://www.thethirdturn.com/wiki/Kevin_Brescia,The Third Turn,https://www.thethirdturn.com/wiki/2003_Charter_Communications_100,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,2,2003-05-04,4 May 2003,Spring Fling 100,2003-spring-fling-100,wisconsin-challenge-series-2003-02-spring-fling-100,https://www.thethirdturn.com/wiki/2003_Spring_Fling_100,"Columbus, WI",Columbus 151 Speedway,columbus-151-speedway,columbus-151-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Columbus_151_Speedway,Erik Darnell,erik-darnell,erik-darnell,mapped,https://www.thethirdturn.com/wiki/Erik_Darnell,The Third Turn,https://www.thethirdturn.com/wiki/2003_Spring_Fling_100,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,3,2003-05-26,26 May 2003,Memorial 100,2003-memorial-100,wisconsin-challenge-series-2003-03-memorial-100,https://www.thethirdturn.com/wiki/2003_Memorial_100,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Weinfurter,jeff-weinfurter,jeff-weinfurter,mapped,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,The Third Turn,https://www.thethirdturn.com/wiki/2003_Memorial_100,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,4,2003-06-07,7 June 2003,Dairy Days 75,2003-dairy-days-75,wisconsin-challenge-series-2003-04-dairy-days-75,https://www.thethirdturn.com/wiki/2003_Dairy_Days_75,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,John Zimmerman,john-zimmerman,john-zimmerman,mapped,https://www.thethirdturn.com/wiki/John_Zimmerman_(WI),The Third Turn,https://www.thethirdturn.com/wiki/2003_Dairy_Days_75,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,5,2003-06-26,26 June 2003,Larry Detjens Memorial,2003-larry-detjens-memorial,wisconsin-challenge-series-2003-05-larry-detjens-memorial,https://www.thethirdturn.com/wiki/2003_Larry_Detjens_Memorial,"Wausau, WI",State Park Speedway,state-park-speedway,state-park-speedway-wi,mapped,https://www.thethirdturn.com/wiki/State_Park_Speedway,Chris Weinkauf,chris-weinkauf,chris-weinkauf,mapped,https://www.thethirdturn.com/wiki/Chris_Weinkauf,The Third Turn,https://www.thethirdturn.com/wiki/2003_Larry_Detjens_Memorial,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,6,2003-07-03,3 July 2003,North American Cup,2003-north-american-cup,wisconsin-challenge-series-2003-06-north-american-cup,https://www.thethirdturn.com/wiki/2003_North_American_Cup,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Kelly Bires,kelly-bires,kelly-bires,mapped,https://www.thethirdturn.com/wiki/Kelly_Bires,The Third Turn,https://www.thethirdturn.com/wiki/2003_North_American_Cup,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,7,2003-07-27,27 July 2003,Creek Classic 100,2003-creek-classic-100,wisconsin-challenge-series-2003-07-creek-classic-100,https://www.thethirdturn.com/wiki/2003_Creek_Classic_100,"Francis Creek, WI",141 Speedway,141-speedway,141-speedway-wi,mapped,https://www.thethirdturn.com/wiki/141_Speedway,Erik Darnell,erik-darnell,erik-darnell,mapped,https://www.thethirdturn.com/wiki/Erik_Darnell,The Third Turn,https://www.thethirdturn.com/wiki/2003_Creek_Classic_100,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,8,2003-08-07,7 August 2003,Marshfield 75,2003-marshfield-75,wisconsin-challenge-series-2003-08-marshfield-75,https://www.thethirdturn.com/wiki/2003_Marshfield_75,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Mark Eswein,mark-eswein,mark-eswein,mapped,https://www.thethirdturn.com/wiki/Mark_Eswein,The Third Turn,https://www.thethirdturn.com/wiki/2003_Marshfield_75,2003_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2003,9,2003-08-18,18 August 2003,Geneva Challenge 100,2003-geneva-challenge-100,wisconsin-challenge-series-2003-09-geneva-challenge-100,https://www.thethirdturn.com/wiki/2003_Geneva_Challenge_100,"Lake Geneva, WI",Lake Geneva Raceway,lake-geneva-raceway,lake-geneva-raceway-wi,mapped,https://www.thethirdturn.com/wiki/Lake_Geneva_Raceway,Erik Darnell,erik-darnell,erik-darnell,mapped,https://www.thethirdturn.com/wiki/Erik_Darnell,The Third Turn,https://www.thethirdturn.com/wiki/2003_Geneva_Challenge_100,2003_wisconsin_challenge_series.html,review,
