winner_name,winner_slug_guess,museum_driver_slug,winner_url,review_notes
Adam Royle,adam-royle,adam-royle,https://www.thethirdturn.com/wiki/Adam_Royle,
Andrew Morrissey,andrew-morrissey,andrew-morrissey,https://www.thethirdturn.com/wiki/Andrew_Morrissey,
Andy Monday,andy-monday,andy-monday,https://www.thethirdturn.com/wiki/Andy_Monday,
Burton Brown,burton-brown,burton-brown,https://www.thethirdturn.com/wiki/Burton_Brown,
Charlie Menard,charlie-menard,charlie-menard,https://www.thethirdturn.com/wiki/Charlie_Menard,
Chris Weinkauf,chris-weinkauf,chris-weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,
Dalton Zehr,dalton-zehr,dalton-zehr,https://www.thethirdturn.com/wiki/Dalton_Zehr,
Dave Feiler,dave-feiler,dave-feiler,https://www.thethirdturn.com/wiki/Dave_Feiler,
Dexter Bean,dexter-bean,dexter-bean,https://www.thethirdturn.com/wiki/Dexter_Bean,
Erik Darnell,erik-darnell,erik-darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,
"Eugene Gregorich, Jr.",eugene-gregorich-jr,eugene-gregorich-jr,"https://www.thethirdturn.com/wiki/Eugene_Gregorich,_Jr.",
Frank Kreyer,frank-kreyer,frank-kreyer,https://www.thethirdturn.com/wiki/Frank_Kreyer,
Gary Back,gary-back,gary-back,https://www.thethirdturn.com/wiki/Gary_Back,
Gregg Haese,gregg-haese,gregg-haese,https://www.thethirdturn.com/wiki/Gregg_Haese,
Jason Schuler,jason-schuler,jason-schuler,https://www.thethirdturn.com/wiki/Jason_Schuler,
Jeff Kendall,jeff-kendall,jeff-kendall,https://www.thethirdturn.com/wiki/Jeff_Kendall,
Jeff Van Oudenhoven,jeff-van-oudenhoven,jeff-van-oudenhoven,https://www.thethirdturn.com/wiki/Jeff_Van_Oudenhoven,
Jeff Weinfurter,jeff-weinfurter,jeff-weinfurter,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,
Jeremy Lepak,jeremy-lepak,jeremy-lepak,https://www.thethirdturn.com/wiki/Jeremy_Lepak,
John Beale,john-beale,john-beale,https://www.thethirdturn.com/wiki/John_Beale,
John Zimmerman,john-zimmerman,john-zimmerman,https://www.thethirdturn.com/wiki/John_Zimmerman_(WI),
Jordan Thiel,jordan-thiel,jordan-thiel,https://www.thethirdturn.com/wiki/Jordan_Thiel,
Kelly Bires,kelly-bires,kelly-bires,https://www.thethirdturn.com/wiki/Kelly_Bires,
Kenny Richards,kenny-richards,kenny-richards,https://www.thethirdturn.com/wiki/Kenny_Richards,
Kevin Brescia,kevin-brescia,kevin-brescia,https://www.thethirdturn.com/wiki/Kevin_Brescia,
Kirby Kurth,kirby-kurth,kirby-kurth,https://www.thethirdturn.com/wiki/Kirby_Kurth,
Kyle Kinder,kyle-kinder,kyle-kinder,https://www.thethirdturn.com/wiki/Kyle_Kinder,
Luke Fenhaus,luke-fenhaus,luke-fenhaus,https://www.thethirdturn.com/wiki/Luke_Fenhaus,
Mark Eswein,mark-eswein,mark-eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,
Mike Gardner,mike-gardner,mike-gardner,https://www.thethirdturn.com/wiki/Mike_Gardner,
Mike Lichtfeld,mike-lichtfeld,mike-lichtfeld,https://www.thethirdturn.com/wiki/Mike_Lichtfeld,
Nathan Haseleu,nathan-haseleu,nathan-haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,
Neil Knoblock,neil-knoblock,neil-knoblock,https://www.thethirdturn.com/wiki/Neil_Knoblock,
Rocky Breezer,rocky-breezer,rocky-breezer,https://www.thethirdturn.com/wiki/Rocky_Breezer,
Rod Wheeler,rod-wheeler,rod-wheeler,https://www.thethirdturn.com/wiki/Rod_Wheeler,
Ryan Farrell,ryan-farrell,ryan-farrell,https://www.thethirdturn.com/wiki/Ryan_Farrell,
Scott Wimmer,scott-wimmer,scott-wimmer,https://www.thethirdturn.com/wiki/Scott_Wimmer,
Skylar Holzhausen,skylar-holzhausen,skylar-holzhausen,https://www.thethirdturn.com/wiki/Skylar_Holzhausen,
Steve Carlson,steve-carlson,steve-carlson,https://www.thethirdturn.com/wiki/Steve_Carlson,
Steve Holzhausen,steve-holzhausen,steve-holzhausen,https://www.thethirdturn.com/wiki/Steve_Holzhausen,
Steve Rubeck,steve-rubeck,steve-rubeck,https://www.thethirdturn.com/wiki/Steve_Rubeck,
Terry Baldry,terry-baldry,terry-baldry,https://www.thethirdturn.com/wiki/Terry_Baldry,
Tim Rothe,tim-rothe,tim-rothe,https://www.thethirdturn.com/wiki/Tim_Rothe,
