track_name_from_url,track_display,track_slug_guess,museum_track_slug,track_url,review_notes
141 Speedway,"Francis Creek, WI",141-speedway,141-speedway-wi,https://www.thethirdturn.com/wiki/141_Speedway,
Columbus 151 Speedway,"Columbus, WI",columbus-151-speedway,columbus-151-speedway-wi,https://www.thethirdturn.com/wiki/Columbus_151_Speedway,
Dells Raceway Park,"Wisconsin Dells, WI",dells-raceway-park,dells-raceway-park-wi,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,
Golden Sands Speedway,"Plover, WI",golden-sands-speedway,golden-sands-speedway-wi,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,
Jefferson Speedway,"Cambridge, WI",jefferson-speedway,jefferson-speedway-wi,https://www.thethirdturn.com/wiki/Jefferson_Speedway,
Lake Geneva Raceway,"Lake Geneva, WI",lake-geneva-raceway,lake-geneva-raceway-wi,https://www.thethirdturn.com/wiki/Lake_Geneva_Raceway,
Madison International Speedway,"Oregon, WI",madison-international-speedway,madison-international-speedway-wi,https://www.thethirdturn.com/wiki/Madison_International_Speedway,
Marshfield Motor Speedway,"Marshfield, WI",marshfield-motor-speedway,marshfield-motor-speedway-wi,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,
Milwaukee Mile,"West Allis, WI",milwaukee-mile,milwaukee-mile-wi,https://www.thethirdturn.com/wiki/Milwaukee_Mile,
Rockford Speedway,"Loves Park, IL",rockford-speedway,rockford-speedway-il,https://www.thethirdturn.com/wiki/Rockford_Speedway,
State Park Speedway,"Wausau, WI",state-park-speedway,state-park-speedway-wi,https://www.thethirdturn.com/wiki/State_Park_Speedway,
Wisconsin International Raceway,"Kaukauna, WI",wisconsin-international-raceway,wisconsin-international-raceway-wi,https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,
