Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1979 Hi/Rev 100,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,24-Jun-79,A.J. Anderson (WI),A.J.Anderson,#N/A,#N/A,,,,,,,,DNQ,,,A.J.Anderson
1980 Dairyland 150 Race No. 1,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,4-Jul-80,A.J. Anderson (WI),A.J.Anderson,#N/A,#N/A,,,,,,,,DNQ,,,A.J. Cooper
1980 NGK Spark Plug 150 Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,24-Aug-80,A.J. Anderson (WI),A.J.Anderson,#N/A,#N/A,,,,,,,,DNQ,,,Aaron Daniel
1991 Coors Light 100,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,12-Jul-91,A.J. Cooper,A.J. Cooper,#N/A,#N/A,,16,,,,99,,,,,Al Papini
1995 ARTGO Western Swing Country Mart 100,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,16-Jun-95,Aaron Daniel,Aaron Daniel,#N/A,#N/A,,18,,,,97,,,,,Allen Check 
1995 ARTGO Western Swing Finale,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,3-Sep-95,Aaron Daniel,Aaron Daniel,#N/A,#N/A,,20,,,,96,,,,,Andy Bozell
1996 KC Colors World Cup 300,I-70 Motorsports Park,I-70 Motorsports Park,i70-motorsports-park-mo,243,28-Sep-96,Aaron Daniel,Aaron Daniel,#N/A,#N/A,,16,,,,230,,,,,Archie Griffin
1985 All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,16-Jul-85,Al Papini,Al Papini,#N/A,#N/A,,13,,,,55,,,,,Arnie Christian
1986 Newscenter 11 Miller Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-86,Allen Check ,Allen Check ,allen-check,516,,19,,,,,,,,,Art Sommers
1986 Big A Minnesota State Championship,Elko Speedway,Elko Speedway,elko-speedway-mn,60,3-Jul-86,Allen Check ,Allen Check ,allen-check,516,,16,,,,52,,,,,Barry Shaxon
1987 Escape to Wisconsin 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,18-Jul-87,Allen Check ,Allen Check ,allen-check,516,,13,,,,99,,,,,Bert Weltmeyer
1989 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,20-May-89,Allen Check ,Allen Check ,allen-check,516,,4,,,,100,,running,,,Bill Skinner
1990 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,30-Jun-90,Allen Check ,Allen Check ,allen-check,516,,14,,,,100,,running,,,Bill Snowden
1990 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Aug-90,Allen Check ,Allen Check ,allen-check,516,,15,,,,257,,,,,Bill Zardo
1990 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,1-Sep-90,Allen Check ,Allen Check ,allen-check,516,,10,,,,150,,running,,,Billy Deckman
1991 Miller Genuine Draft Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-91,Allen Check ,Allen Check ,allen-check,516,,13,,,,125,,running,,,Billy Shotko
1991 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,6-Aug-91,Allen Check ,Allen Check ,allen-check,516,,10,,,,249,,,,,"Billy Sontag, Jr."
1992 Spring Nationals 125,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-92,Allen Check ,Allen Check ,allen-check,516,,27,,,,88,,,,,Bob Carnes
ARTGO:1993-02,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,9-May-93,Andy Bozell,Andy Bozell,#N/A,#N/A,,27,,,,24,,,,,Bob Curry
1993 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,29-May-93,Andy Bozell,Andy Bozell,#N/A,#N/A,,12,,,,99,,,,,Bob Fix
