source_driver_name,source_driver_slug,resolved_driver_id,resolved_driver_name,resolved_driver_slug
Aaron Kania,aaron-kania,27,A.J. Kania,aj-kania
Adam Paschek,adam-paschek,167,Adam Peschek,adam-peschek
Andy Hanson,andy-hanson,653,Andy Hansen,andy-hansen
Brian Class,brian-class,2839,Brian Claas,brian-claas
Darek Gress,darek-gress,6728,Derek Gress,derek-gress
David Trute,david-trute,6176,Dave Trute,dave-trute
Gerry Junget,gerry-junget,8809,Gary Junget,gary-junget
Gregg Ruffalo,gregg-ruffalo,9503,Greg Ruffalo,greg-ruffalo
James Wenzel,james-wenzel,12257,Jim Wenzel,jim-wenzel
Jeff Van Oudenhoven,jeff-van-oudenhoven,11080,Jeff VanOudenhoven,jeff-vanoudenhoven
Jeremy Miller,jeremy-miller,11214,Jeremy Miller IL,jeremy-miller-il
Jeremy Switlick,jeremy-switlick,11238,Jeremy Switlik,jeremy-switlik
Joe Krzykowski,joe-krzykowski,12529,Joe Kryzkowski,joe-kryzkowski
"John Ovadal, Jr.",john-ovadal-jr,13119,John Ovadal,john-ovadal
Josh Bauer,josh-bauer,13524,Josh Bauer - Slinger,josh-bauer---slinger
Kenny Reiser,kenny-reiser,14187,Ken Reiser,ken-reiser
Kevin Peterson,kevin-peterson,14484,Kevin Peterson WI,kevin-peterson-wi
Mike Olson,mike-olson,17088,Mike Olson Dorchester,mike-olson-dorchester
Pete Vandermolen,pete-vandermolen,18287,"Pete Vandermolen, Jr.",pete-vandermolen-jr
Rich Bickle,rich-bickle,18942,"Rich Bickle, Jr.",rich-bickle-jr
Rich Loch,rich-loch,19086,Richie Loch,richie-loch
Russ Blakeley,russ-blakeley,20248,Russ Blakley,russ-blakley
Scotty Ollerman,scotty-ollerman,20814,Scott Ollerman,scott-ollerman
Steve Campbell,steve-campbell,21717,Stevie Campbell,stevie-campbell
Steve Dobbratz,steve-dobbratz,21405,Steve Dobratz,steve-dobratz
Steve Lichtfeld,steve-lichtfeld,21519,Steve Litchfeld,steve-litchfeld
