race_date,track_id,class_id,race_status,slug,year,is_published,event_name,source_series_slug,source_race_number
2001-07-08,69,,completed,2001-marvelous-marv-91,2001,true,2001-marvelous-marv-91,wisconsin-challenge-series,1
2001-08-05,69,,completed,2001-reffner-race-88,2001,true,2001-reffner-race-88,wisconsin-challenge-series,2
2001-09-03,49,,completed,2001-dick-trickle-99,2001,true,2001-dick-trickle-99,wisconsin-challenge-series,3
2002-05-05,41,,completed,2002-spring-fling-75,2002,true,2002-spring-fling-75,wisconsin-challenge-series,1
2002-05-19,69,,completed,2002-ice-breaker-75,2002,true,2002-ice-breaker-75,wisconsin-challenge-series,2
2002-05-26,119,,completed,2002-memorial-75,2002,true,2002-memorial-75,wisconsin-challenge-series,3
2002-06-27,193,,completed,2002-larry-detjens-memorial,2002,true,2002-larry-detjens-memorial,wisconsin-challenge-series,4
2002-07-03,49,,completed,2002-north-american-cup,2002,true,2002-north-american-cup,wisconsin-challenge-series,5
2002-08-11,69,,completed,2002-legends-75,2002,true,2002-legends-75,wisconsin-challenge-series,6
2002-09-02,49,,completed,2002-championship-100,2002,true,2002-championship-100,wisconsin-challenge-series,7
2003-04-12,49,,completed,2003-charter-communications-100,2003,true,2003-charter-communications-100,wisconsin-challenge-series,1
2003-05-04,41,,completed,2003-spring-fling-100,2003,true,2003-spring-fling-100,wisconsin-challenge-series,2
2003-05-26,69,,completed,2003-memorial-100,2003,true,2003-memorial-100,wisconsin-challenge-series,3
2003-06-07,119,,completed,2003-dairy-days-75,2003,true,2003-dairy-days-75,wisconsin-challenge-series,4
2003-06-26,193,,completed,2003-larry-detjens-memorial,2003,true,2003-larry-detjens-memorial,wisconsin-challenge-series,5
2003-07-03,49,,completed,2003-north-american-cup,2003,true,2003-north-american-cup,wisconsin-challenge-series,6
2003-07-27,1,,completed,2003-creek-classic-100,2003,true,2003-creek-classic-100,wisconsin-challenge-series,7
2003-08-07,119,,completed,2003-marshfield-75,2003,true,2003-marshfield-75,wisconsin-challenge-series,8
2003-08-18,105,,completed,2003-geneva-challenge-100,2003,true,2003-geneva-challenge-100,wisconsin-challenge-series,9
2003-09-05,69,,completed,2003-championship-100,2003,true,2003-championship-100,wisconsin-challenge-series,10
2004-04-10,49,,completed,2004-spring-thaw-100,2004,true,2004-spring-thaw-100,wisconsin-challenge-series,1
2004-05-31,69,,completed,2004-memorial-100,2004,true,2004-memorial-100,wisconsin-challenge-series,2
