race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2001-marvelous-marv-91,,14573,1,,,,,
2001-marvelous-marv-91,,11624,2,,,,,
2001-marvelous-marv-91,,3215,3,,,,,
2001-marvelous-marv-91,,11210,4,,,,,
2001-marvelous-marv-91,,15866,5,,,,,
2001-marvelous-marv-91,,14187,6,,,,,
2001-marvelous-marv-91,,1124,7,,,,,
2001-marvelous-marv-91,,516,8,,,,,
2001-marvelous-marv-91,,19122,9,,,,,
2001-marvelous-marv-91,,22477,10,,,,,
2001-marvelous-marv-91,,7519,11,,,,,
2001-marvelous-marv-91,,15347,12,,,,,
2001-marvelous-marv-91,,3355,13,,,,,
2001-marvelous-marv-91,,17569,14,,,,,
2001-marvelous-marv-91,,12529,15,,,,,
2001-marvelous-marv-91,,23035,16,,,,,
2001-marvelous-marv-91,,10667,17,,,,,
2001-marvelous-marv-91,,8526,18,,,,,
2001-marvelous-marv-91,,8715,19,,,,,
2001-marvelous-marv-91,,null,20,,,,,
2001-marvelous-marv-91,,12450,21,,,,,
2001-marvelous-marv-91,,11096,22,,,,,
2001-reffner-race-88,,14573,1,,,,,
2001-reffner-race-88,,14187,2,,,,,
2001-reffner-race-88,,15866,3,,,,,
2001-reffner-race-88,,13668,4,,,,,
2001-reffner-race-88,,14762,5,,,,,
2001-reffner-race-88,,516,6,,,,,
2001-reffner-race-88,,19001,7,,,,,
2001-reffner-race-88,,8715,8,,,,,
2001-reffner-race-88,,14484,9,,,,,
2001-reffner-race-88,,23035,10,,,,,
2001-reffner-race-88,,1124,11,,,,,
2001-reffner-race-88,,11096,12,,,,,
2001-reffner-race-88,,16295,13,,,,,
2001-reffner-race-88,,3355,14,,,,,
2001-reffner-race-88,,19122,15,,,,,
2001-reffner-race-88,,null,16,,,,,
2001-reffner-race-88,,4194,17,,,,,
2001-reffner-race-88,,3215,18,,,,,
2001-reffner-race-88,,11210,19,,,,,
2001-reffner-race-88,,10667,20,,,,,
2001-reffner-race-88,,11624,21,,,,,
2001-reffner-race-88,,22013,22,,,,,
2001-dick-trickle-99,,19584,1,,,,,
2001-dick-trickle-99,,7419,2,,,,,
2001-dick-trickle-99,,15866,3,,,,,
2001-dick-trickle-99,,11765,4,,,,,
2001-dick-trickle-99,,516,5,,,,,
2001-dick-trickle-99,,603,6,,,,,
2001-dick-trickle-99,,14762,7,,,,,
2001-dick-trickle-99,,11624,8,,,,,
2001-dick-trickle-99,,1772,9,,,,,
2001-dick-trickle-99,,14187,10,,,,,
2001-dick-trickle-99,,16295,11,,,,,
2001-dick-trickle-99,,8526,12,,,,,
2001-dick-trickle-99,,8230,13,,,,,
2001-dick-trickle-99,,3215,14,,,,,
2001-dick-trickle-99,,11092,15,,,,,
2001-dick-trickle-99,,10667,16,,,,,
2001-dick-trickle-99,,11210,17,,,,,
2001-dick-trickle-99,,12529,18,,,,,
2001-dick-trickle-99,,22013,19,,,,,
2001-dick-trickle-99,,8715,20,,,,,
2001-dick-trickle-99,,14484,21,,,,,
2001-dick-trickle-99,,11096,22,,,,,
2002-spring-fling-75,,3355,1,,,,,
2002-spring-fling-75,,20819,2,,,,,
2002-spring-fling-75,,14187,3,,,,,
2002-spring-fling-75,,11210,4,,,,,
2002-spring-fling-75,,8715,5,,,,,
2002-spring-fling-75,,7419,6,,,,,
2002-spring-fling-75,,516,7,,,,,
2002-spring-fling-75,,19584,8,,,,,
2002-spring-fling-75,,15866,9,,,,,
2002-spring-fling-75,,14762,10,,,,,
2002-spring-fling-75,,394,11,,,,,
2002-spring-fling-75,,null,12,,,,,
2002-spring-fling-75,,8809,13,,,,,
2002-spring-fling-75,,8526,14,,,,,
2002-spring-fling-75,,5869,15,,,,,
2002-spring-fling-75,,18245,16,,,,,
2002-spring-fling-75,,8535,17,,,,,
2002-spring-fling-75,,16778,18,,,,,
2002-spring-fling-75,,2665,19,,,,,
2002-spring-fling-75,,15678,20,,,,,
2002-spring-fling-75,,9402,21,,,,,
2002-spring-fling-75,,11765,22,,,,,
2002-ice-breaker-75,,17512,1,,,,,
2002-ice-breaker-75,,4194,2,,,,,
2002-ice-breaker-75,,11096,3,,,,,
2002-ice-breaker-75,,11210,4,,,,,
2002-ice-breaker-75,,8715,5,,,,,
2002-ice-breaker-75,,15866,6,,,,,
2002-ice-breaker-75,,516,7,,,,,
2002-ice-breaker-75,,14187,8,,,,,
