season_year,source_file,table_index,row_index,cell_count,cell_1,cell_1_url,cell_2,cell_2_url,cell_3,cell_3_url,cell_4,cell_4_url,cell_5,cell_5_url,cell_6,cell_6_url,cell_7,cell_7_url,cell_8,cell_8_url
2001,2001_wisconsin_challenge_series.html,0,0,3,,,VIEW ALL SEASONS FOR THIS SERIES,https://www.thethirdturn.com/wiki/Wisconsin_Challenge_Series_Central,Next Season >>>,https://www.thethirdturn.com/wiki/2002_Wisconsin_Challenge_Series_Central,,,,,,,,,,
2001,2001_wisconsin_challenge_series.html,1,0,1,RACE LISTINGS,,,,,,,,,,,,,,,
2001,2001_wisconsin_challenge_series.html,1,1,4,Race,,Date,,Track,,Winner,,,,,,,,,
2001,2001_wisconsin_challenge_series.html,1,2,4,1,https://www.thethirdturn.com/wiki/2001_Marvelous_Marv_91,8 July 2001,,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kirby Kurth,https://www.thethirdturn.com/wiki/Kirby_Kurth,,,,,,,,
2001,2001_wisconsin_challenge_series.html,1,3,4,2,https://www.thethirdturn.com/wiki/2001_Reffner_Race_88,5 August 2001,,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kirby Kurth,https://www.thethirdturn.com/wiki/Kirby_Kurth,,,,,,,,
2001,2001_wisconsin_challenge_series.html,1,4,4,3,https://www.thethirdturn.com/wiki/2001_Dick_Trickle_99,3 September 2001,,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Rocky Breezer,https://www.thethirdturn.com/wiki/Rocky_Breezer,,,,,,,,
2001,2001_wisconsin_challenge_series.html,2,0,1,FINAL POINT STANDINGS,,,,,,,,,,,,,,,
2001,2001_wisconsin_challenge_series.html,3,0,8,Fin,,Driver,,Pts,,St,,W,,T5,,T10,,Pole,
2001,2001_wisconsin_challenge_series.html,3,1,8,1,,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,364,,3,https://www.thethirdturn.com/wiki/Mark_Eswein/Results/Wisconsin_Challenge_Series/2001,0,,3,,3,,,
2001,2001_wisconsin_challenge_series.html,3,2,8,2,,Kenny Reiser,https://www.thethirdturn.com/wiki/Kenny_Reiser,360,,3,https://www.thethirdturn.com/wiki/Kenny_Reiser/Results/Wisconsin_Challenge_Series/2001,0,,1,,3,,,
2001,2001_wisconsin_challenge_series.html,3,3,8,3,,Allen Check,https://www.thethirdturn.com/wiki/Allen_Check,314,,3,https://www.thethirdturn.com/wiki/Allen_Check/Results/Wisconsin_Challenge_Series/2001,0,,1,,3,,,
2001,2001_wisconsin_challenge_series.html,3,4,8,4,,Kirby Kurth,https://www.thethirdturn.com/wiki/Kirby_Kurth,309,,2,https://www.thethirdturn.com/wiki/Kirby_Kurth/Results/Wisconsin_Challenge_Series/2001,2,,2,,2,,,
2001,2001_wisconsin_challenge_series.html,3,5,8,5,,Jesse Haase,https://www.thethirdturn.com/wiki/Jesse_Haase,299,,3,https://www.thethirdturn.com/wiki/Jesse_Haase/Results/Wisconsin_Challenge_Series/2001,0,,1,,2,,,
2001,2001_wisconsin_challenge_series.html,3,6,8,6,,Bryan Roach,https://www.thethirdturn.com/wiki/Bryan_Roach,270,,3,https://www.thethirdturn.com/wiki/Bryan_Roach/Results/Wisconsin_Challenge_Series/2001,0,,1,,1,,,
2001,2001_wisconsin_challenge_series.html,3,7,8,7,,Jeremy Lepak,https://www.thethirdturn.com/wiki/Jeremy_Lepak,262,,3,https://www.thethirdturn.com/wiki/Jeremy_Lepak/Results/Wisconsin_Challenge_Series/2001,0,,1,,1,,,
2001,2001_wisconsin_challenge_series.html,3,8,8,8,,Gary Back,https://www.thethirdturn.com/wiki/Gary_Back,240,,3,https://www.thethirdturn.com/wiki/Gary_Back/Results/Wisconsin_Challenge_Series/2001,0,,0,,1,,,
2001,2001_wisconsin_challenge_series.html,3,9,8,9,,Benjamin Brinkman,https://www.thethirdturn.com/wiki/Benjamin_Brinkman,228,,2,https://www.thethirdturn.com/wiki/Benjamin_Brinkman/Results/Wisconsin_Challenge_Series/2001,0,,0,,1,,,
2001,2001_wisconsin_challenge_series.html,3,10,8,10,,Burton Brown,https://www.thethirdturn.com/wiki/Burton_Brown,226,,2,https://www.thethirdturn.com/wiki/Burton_Brown/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,11,8,11,,Kyle Kinder,https://www.thethirdturn.com/wiki/Kyle_Kinder,217,,2,https://www.thethirdturn.com/wiki/Kyle_Kinder/Results/Wisconsin_Challenge_Series/2001,0,,1,,2,,,
2001,2001_wisconsin_challenge_series.html,3,12,8,12,,Jeff Weinfurter,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,202,,3,https://www.thethirdturn.com/wiki/Jeff_Weinfurter/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,13,8,13,,Tony Strupp,https://www.thethirdturn.com/wiki/Tony_Strupp,201,,2,https://www.thethirdturn.com/wiki/Tony_Strupp/Results/Wisconsin_Challenge_Series/2001,0,,0,,1,,,
2001,2001_wisconsin_challenge_series.html,3,14,8,13,,Jason Weinkauf,https://www.thethirdturn.com/wiki/Jason_Weinkauf,201,,3,https://www.thethirdturn.com/wiki/Jason_Weinkauf/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,15,8,15,,Matt Kocourek,https://www.thethirdturn.com/wiki/Matt_Kocourek,172,,2,https://www.thethirdturn.com/wiki/Matt_Kocourek/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,16,8,16,,Rick Corso,https://www.thethirdturn.com/wiki/Rick_Corso,169,,2,https://www.thethirdturn.com/wiki/Rick_Corso/Results/Wisconsin_Challenge_Series/2001,0,,0,,1,,,
2001,2001_wisconsin_challenge_series.html,3,17,8,17,,Judd Brandl,https://www.thethirdturn.com/wiki/Judd_Brandl,164,,1,https://www.thethirdturn.com/wiki/Judd_Brandl/Results/Wisconsin_Challenge_Series/2001,0,,1,,1,,,
2001,2001_wisconsin_challenge_series.html,3,18,8,18,,Joe Krzykowski,https://www.thethirdturn.com/wiki/Joe_Krzykowski,159,,2,https://www.thethirdturn.com/wiki/Joe_Krzykowski/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,19,8,19,,Frank Kreyer,https://www.thethirdturn.com/wiki/Frank_Kreyer,152,,2,https://www.thethirdturn.com/wiki/Frank_Kreyer/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,20,8,20,,Kevin Peterson,https://www.thethirdturn.com/wiki/Kevin_Peterson,151,,2,https://www.thethirdturn.com/wiki/Kevin_Peterson/Results/Wisconsin_Challenge_Series/2001,0,,0,,1,,,
2001,2001_wisconsin_challenge_series.html,3,21,8,21,,Rocky Breezer,https://www.thethirdturn.com/wiki/Rocky_Breezer,143,,1,https://www.thethirdturn.com/wiki/Rocky_Breezer/Results/Wisconsin_Challenge_Series/2001,1,,1,,1,,,
2001,2001_wisconsin_challenge_series.html,3,22,8,22,,Frank Nitzke,https://www.thethirdturn.com/wiki/Frank_Nitzke,134,,0,https://www.thethirdturn.com/wiki/Frank_Nitzke/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,23,8,23,,Scott Beyer,https://www.thethirdturn.com/wiki/Scott_Beyer,132,,2,https://www.thethirdturn.com/wiki/Scott_Beyer/Results/Wisconsin_Challenge_Series/2001,0,,0,,0,,,
2001,2001_wisconsin_challenge_series.html,3,24,8,24,,Don Turner,https://www.thethirdturn.com/wiki/Don_Turner_(WI),125,,1,https://www.thethirdturn.com/wiki/Don_Turner_(WI)/Results/Wisconsin_Challenge_Series/2001,0,,1,,1,,,
