series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
253,1,,,14573,Kirby Kurth,kirby-kurth,,,,,,,feature,
253,2,,,11624,Jesse Haase,jesse-haase,,,,,,,feature,
253,3,,,3215,Bryan Roach,bryan-roach,,,,,,,feature,
253,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
253,5,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
253,6,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
253,7,,,1124,Benjamin Brinkman,benjamin-brinkman,,,,,,,feature,
253,8,,,516,Allen Check,allen-check,,,,,,,feature,
253,9,,,19122,Rick Corso,rick-corso,,,,,,,feature,
253,10,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
253,11,,,7519,Doug Drost,doug-drost,,,,,,,feature,
253,12,,,15347,Leroy Pettis,leroy-pettis,,,,,,,feature,
253,13,,,3355,Burton Brown,burton-brown,,,,,,,feature,
253,14,,,17569,Neil Knoblock,neil-knoblock,,,,,,,feature,
253,15,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
253,16,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
253,17,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
253,18,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
253,19,,,8715,Gary Back,gary-back,,,,,,,feature,
253,20,,,null,Scott Beyer,scott-beyer,,,,,,,feature,
253,21,,,12450,Joe Fischer,joe-fischer,,,,,,,feature,
253,22,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
254,1,,,14573,Kirby Kurth,kirby-kurth,,,,,,,feature,
254,2,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
254,3,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
254,4,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
254,5,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
254,6,,,516,Allen Check,allen-check,,,,,,,feature,
254,7,,,19001,"Rich Schumann, Jr.",rich-schumann-jr,,,,,,,feature,
254,8,,,8715,Gary Back,gary-back,,,,,,,feature,
254,9,,,14484,Kevin Peterson WI,kevin-peterson,,,,,,,feature,
254,10,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
254,11,,,1124,Benjamin Brinkman,benjamin-brinkman,,,,,,,feature,
254,12,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
254,13,,,16295,Matt Kocourek,matt-kocourek,,,,,,,feature,
254,14,,,3355,Burton Brown,burton-brown,,,,,,,feature,
254,15,,,19122,Rick Corso,rick-corso,,,,,,,feature,
254,16,,,null,Scott Beyer,scott-beyer,,,,,,,feature,
254,17,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
254,18,,,3215,Bryan Roach,bryan-roach,,,,,,,feature,
254,19,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
254,20,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
254,21,,,11624,Jesse Haase,jesse-haase,,,,,,,feature,
254,22,,,22013,Terry Schoppenhorst,terry-schoppenhorst,,,,,,,feature,
255,1,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
255,2,,,7419,Don Turner,don-turner,,,,,,,feature,
255,3,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
255,4,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
255,5,,,516,Allen Check,allen-check,,,,,,,feature,
255,6,,,603,Andrew Morrissey,andrew-morrissey,,,,,,,feature,
255,7,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
255,8,,,11624,Jesse Haase,jesse-haase,,,,,,,feature,
255,9,,,1772,Bob Campbell,bob-campbell,,,,,,,feature,
255,10,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
255,11,,,16295,Matt Kocourek,matt-kocourek,,,,,,,feature,
255,12,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
255,13,,,8230,Eric Hammond,eric-hammond,,,,,,,feature,
255,14,,,3215,Bryan Roach,bryan-roach,,,,,,,feature,
255,15,,,11092,Jeff Way,jeff-way,,,,,,,feature,
255,16,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
255,17,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
255,18,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
255,19,,,22013,Terry Schoppenhorst,terry-schoppenhorst,,,,,,,feature,
255,20,,,8715,Gary Back,gary-back,,,,,,,feature,
255,21,,,14484,Kevin Peterson WI,kevin-peterson,,,,,,,feature,
255,22,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
256,1,,,3355,Burton Brown,burton-brown,,,,,,,feature,
256,2,,,20819,Scott Patrick,scott-patrick,,,,,,,feature,
256,3,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
256,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
256,5,,,8715,Gary Back,gary-back,,,,,,,feature,
256,6,,,7419,Don Turner,don-turner,,,,,,,feature,
256,7,,,516,Allen Check,allen-check,,,,,,,feature,
256,8,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
256,9,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
256,10,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
256,11,,,394,Al Weishoff,al-weishoff,,,,,,,feature,
256,12,,,null,Jon Hornby,jon-hornby,,,,,,,feature,
256,13,,,8809,Gary Junget,gerry-junget,,,,,,,feature,
256,14,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
256,15,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
256,16,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
256,17,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
256,18,,,16778,Mike Cusick,mike-cusick,,,,,,,feature,
256,19,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
256,20,,,15678,Luke Westenberg,luke-westenberg,,,,,,,feature,
256,21,,,9402,Greg Bowers,greg-bowers,,,,,,,feature,
256,22,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
257,1,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
257,2,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
257,3,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
257,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
257,5,,,8715,Gary Back,gary-back,,,,,,,feature,
257,6,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
257,7,,,516,Allen Check,allen-check,,,,,,,feature,
257,8,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
257,9,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
257,10,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
257,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
257,12,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
257,13,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
257,14,,,8381,"Eugene Gregorich, Jr.",eugene-gregorich-jr,,,,,,,feature,
257,15,,,3355,Burton Brown,burton-brown,,,,,,,feature,
257,16,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
257,17,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
257,18,,,23301,Troy Nelson,troy-nelson,,,,,,,feature,
257,19,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
257,20,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
