series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_name,race_url,track_display,track_url,winner_name,winner_url,source_file
wisconsin-challenge-series,Wisconsin Challenge Series,2001,1,2001-07-08,8 July 2001,1,https://www.thethirdturn.com/wiki/2001_Marvelous_Marv_91,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kirby Kurth,https://www.thethirdturn.com/wiki/Kirby_Kurth,2001_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2001,2,2001-08-05,5 August 2001,2,https://www.thethirdturn.com/wiki/2001_Reffner_Race_88,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Kirby Kurth,https://www.thethirdturn.com/wiki/Kirby_Kurth,2001_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2001,3,2001-09-03,3 September 2001,3,https://www.thethirdturn.com/wiki/2001_Dick_Trickle_99,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Rocky Breezer,https://www.thethirdturn.com/wiki/Rocky_Breezer,2001_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,1,2002-05-05,5 May 2002,1,https://www.thethirdturn.com/wiki/2002_Spring_Fling_75,"Columbus, WI",https://www.thethirdturn.com/wiki/Columbus_151_Speedway,Burton Brown,https://www.thethirdturn.com/wiki/Burton_Brown,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,2,2002-05-19,19 May 2002,2,https://www.thethirdturn.com/wiki/2002_Ice_Breaker_75,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,3,2002-05-26,26 May 2002,3,https://www.thethirdturn.com/wiki/2002_Memorial_75,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Gary Back,https://www.thethirdturn.com/wiki/Gary_Back,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,4,2002-06-27,27 June 2002,4,https://www.thethirdturn.com/wiki/2002_Larry_Detjens_Memorial,"Wausau, WI",https://www.thethirdturn.com/wiki/State_Park_Speedway,Scott Wimmer,https://www.thethirdturn.com/wiki/Scott_Wimmer,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,5,2002-07-03,3 July 2002,5,https://www.thethirdturn.com/wiki/2002_North_American_Cup,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Jeff Kendall,https://www.thethirdturn.com/wiki/Jeff_Kendall,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,6,2002-08-11,11 August 2002,6,https://www.thethirdturn.com/wiki/2002_Legends_75,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Weinfurter,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2002,7,2002-09-02,2 September 2002,7,https://www.thethirdturn.com/wiki/2002_Championship_100,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Kyle Kinder,https://www.thethirdturn.com/wiki/Kyle_Kinder,2002_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,1,2003-04-12,12 April 2003,1,https://www.thethirdturn.com/wiki/2003_Charter_Communications_100,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Kevin Brescia,https://www.thethirdturn.com/wiki/Kevin_Brescia,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,2,2003-05-04,4 May 2003,2,https://www.thethirdturn.com/wiki/2003_Spring_Fling_100,"Columbus, WI",https://www.thethirdturn.com/wiki/Columbus_151_Speedway,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,3,2003-05-26,26 May 2003,3,https://www.thethirdturn.com/wiki/2003_Memorial_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Weinfurter,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,4,2003-06-07,7 June 2003,4,https://www.thethirdturn.com/wiki/2003_Dairy_Days_75,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,John Zimmerman,https://www.thethirdturn.com/wiki/John_Zimmerman_(WI),2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,5,2003-06-26,26 June 2003,5,https://www.thethirdturn.com/wiki/2003_Larry_Detjens_Memorial,"Wausau, WI",https://www.thethirdturn.com/wiki/State_Park_Speedway,Chris Weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,6,2003-07-03,3 July 2003,6,https://www.thethirdturn.com/wiki/2003_North_American_Cup,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Kelly Bires,https://www.thethirdturn.com/wiki/Kelly_Bires,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,7,2003-07-27,27 July 2003,7,https://www.thethirdturn.com/wiki/2003_Creek_Classic_100,"Francis Creek, WI",https://www.thethirdturn.com/wiki/141_Speedway,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,8,2003-08-07,7 August 2003,8,https://www.thethirdturn.com/wiki/2003_Marshfield_75,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,9,2003-08-18,18 August 2003,9,https://www.thethirdturn.com/wiki/2003_Geneva_Challenge_100,"Lake Geneva, WI",https://www.thethirdturn.com/wiki/Lake_Geneva_Raceway,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,2003_wisconsin_challenge_series.html
