series_id,season_year,season_id,race_number,source_race_name,series_event_id,race_date,track_name_source,track_name_museum,track_slug,winner_name_source,winner_name_museum,winner_driver_id,winner_driver_slug,source_url,notes
0,,,1,1981 Saturday Night Twin 50s Race No. 1,,1-Aug-81,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Junior Hanley,Junior Hanley,,junior-hanley,,
0,,,2,1981 Saturday Night Twin 50s Race No. 2,,1-Aug-81,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Jim Sauter,Jim Sauter,,jim-sauter,,
0,,,3,1989 Miller High Life/TV-5 Dixieland 250,,1-Aug-89,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Rich Bickle,Rich Bickle,,rich-bickle,,
0,,,4,1993 Badger World Classic 50,,1-Aug-93,Milwaukee Mile,Milwaukee Mile,milwaukee-mile,Joe Shear,Joe Shear,,joe-shear,,
0,,,5,1995 Dixieland 250,,1-Aug-95,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Bryan Reffner,Bryan Reffner,,bryan-reffner,,
0,,,6,1989 ARTGO Holiday Special Race No. 1,,1-Jul-89,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Steve Holzhausen,Steve Holzhausen,,steve-holzhausen,,
0,,,7,1989 ARTGO Holiday Special Race No. 2,,1-Jul-89,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Butch Miller,Butch Miller,,butch-miller,,
0,,,8,1991 Michigan Challenge,,1-Jun-91,Berlin Raceway,Berlin Raceway,berlin-raceway,Joe Shear,Joe Shear,,joe-shear,,
0,,,9,1997 Spring Classic,,1-Jun-97,Rockford Speedway,Rockford Speedway,rockford-speedway,Eddie Hoffman,Eddie Hoffman,,eddie-hoffman,,
0,,,10,1995 KC Colors World Cup 300,,1-Oct-95,I-70 Motorsports Park,I-70 Motorsports Park,i-70-motorsports-park,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,11,1978 Pepsi Monza Championship Race No. 1,,1-Sep-78,Madison International Speedway,Madison International Speedway,madison-international-speedway,Tom Reffner,Tom Reffner,,tom-reffner,,
0,,,12,1978 Pepsi Monza Championship Race No. 2,,1-Sep-78,Madison International Speedway,Madison International Speedway,madison-international-speedway,Tom Reffner,Tom Reffner,,tom-reffner,,
0,,,13,1978 Pepsi Monza Championship Race No. 3,,1-Sep-78,Madison International Speedway,Madison International Speedway,madison-international-speedway,Randy Sweet,Randy Sweet,,randy-sweet,,
0,,,14,1984 Summer Nationals Race No. 1,,1-Sep-84,Minnesota State Fair Speedway,Minnesota State Fair Speedway,minnesota-state-fair-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,15,1984 Summer Nationals Race No. 2,,1-Sep-84,Minnesota State Fair Speedway,Minnesota State Fair Speedway,minnesota-state-fair-speedway,Jim Sauter,Jim Sauter,,jim-sauter,,
0,,,16,1990 ARTGO Summer Nationals,,1-Sep-90,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Rich Bickle,Rich Bickle,,rich-bickle,,
0,,,17,1995 ARTGO Western Swing USA Challenge 100,,1-Sep-95,Bolivar Speedway,Bolivar Speedway,bolivar-speedway,Jim Weber (MN),Jim Weber (MN),,jim-weber-mn,,
0,,,18,1983 ARTGO Spring Classic,,10-Apr-83,Rockford Speedway,Rockford Speedway,rockford-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,19,1988 ARTGO Spring Classic,,10-Apr-88,Rockford Speedway,Rockford Speedway,rockford-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,20,1994 Spring Classic,,10-Apr-94,Rockford Speedway,Rockford Speedway,rockford-speedway,Tony Strupp,Tony Strupp,,tony-strupp,,
0,,,21,1997 Golden Sands Stars and Cars 100,,10-Aug-97,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway,Eddie Hoffman,Eddie Hoffman,,eddie-hoffman,,
0,,,22,1979 All-Star 100,,10-Jul-79,Rockford Speedway,Rockford Speedway,rockford-speedway,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,23,1993 Ozark Challenge 100,,10-Jul-93,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i-44-speedway,Larry Phillips,Larry Phillips,,larry-phillips,,
0,,,24,1986 ARTGO Indiana Challenge Race No. 1,,10-May-86,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park,Butch Miller,Butch Miller,,butch-miller,,
0,,,25,1986 ARTGO Indiana Challenge Race No. 2,,10-May-86,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,26,1992 Badgerland 50,,10-May-92,Milwaukee Mile,Milwaukee Mile,milwaukee-mile,Tom Carlson,Tom Carlson,,tom-carlson,,
0,,,27,1997 Cabin Fever 100,,10-May-97,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,28,1981 Patch Press Summer Nationals Race No. 1,,10-Oct-81,Madison International Speedway,Madison International Speedway,madison-international-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,29,1982 ARTGO Spring Classic,,11-Apr-82,Rockford Speedway,Rockford Speedway,rockford-speedway,"Al Schill, Sr.","Al Schill, Sr.",,al-schill-sr,,
0,,,30,1990 Coors 100 (August),,11-Aug-90,Auto City Speedway,Auto City Speedway,auto-city-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,31,1978 Tuesday Night Special,,11-Jul-78,Rockford Speedway,Rockford Speedway,rockford-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,32,1988 Chicagoland Showdown,,11-Jun-88,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Rich Bickle,Rich Bickle,,rich-bickle,,
0,,,33,1980 Midwest Championship Race No. 1,,11-May-80,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,34,1980 Midwest Championship Race No. 2,,11-May-80,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,35,1981 Patch Press Summer Nationals Race No. 2,,11-Oct-81,Madison International Speedway,Madison International Speedway,madison-international-speedway,Tom Jones,Tom Jones,,tom-jones,,
0,,,36,1994 Minnesota Governor's Cup,,11-Sep-94,"I-94 Speedway (Sauk Centre, MN)","I-94 Speedway (Sauk Centre, MN)",i-94-speedway-sauk-centre-mn,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,37,1981 ARTGO Spring Classic,,12-Apr-81,Rockford Speedway,Rockford Speedway,rockford-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,38,1983 All-Star 100,,12-Jul-83,Rockford Speedway,Rockford Speedway,rockford-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,39,1991 Coors Light 100,,12-Jul-91,Lakeside Speedway,Lakeside Speedway,lakeside-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,40,1995 LaCrosse Fairtime 100,,12-Jul-95,LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,lacrosse-fairgrounds-speedway,Matt Kenseth,Matt Kenseth,,matt-kenseth,,
0,,,41,1986 Auto City 100,,12-Jun-86,Auto City Speedway,Auto City Speedway,auto-city-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,42,1987 London Free Press Canadian Challenge 100,,12-Jun-87,Delaware Speedway,Delaware Speedway,delaware-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,43,1984 ARTGO Indiana Challenge Race No. 1,,12-May-84,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park,Bob Senneker,Bob Senneker,,bob-senneker,,
0,,,44,1984 ARTGO Indiana Challenge Race No. 2,,12-May-84,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park,Tom Reffner,Tom Reffner,,tom-reffner,,
0,,,45,1985 ARTGO Spring Classic,,12-May-85,Rockford Speedway,Rockford Speedway,rockford-speedway,"Al Schill, Sr.","Al Schill, Sr.",,al-schill-sr,,
0,,,46,1980 ARTGO Spring Classic,,13-Apr-80,Rockford Speedway,Rockford Speedway,rockford-speedway,Larry Detjens,Larry Detjens,,larry-detjens,,
0,,,47,1982 All-Star 100,,13-Jul-82,Rockford Speedway,Rockford Speedway,rockford-speedway,Dave Watson,Dave Watson,,dave-watson,,
0,,,48,1991 Ozark Challenge 100,,13-Jul-91,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i-44-speedway,Dick Harrington,Dick Harrington,,dick-harrington,,
0,,,49,1986 London Free Press 100,,13-Jun-86,Delaware Speedway,Delaware Speedway,delaware-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,50,1992 Chicagoland Showdown,,13-Jun-92,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,51,1986 ARTGO Invitational,,13-Sep-86,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Butch Miller,Butch Miller,,butch-miller,,
0,,,52,1981 All-Star 100,,14-Jul-81,Rockford Speedway,Rockford Speedway,rockford-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,53,1987 Auto City 100,,14-Jun-87,Auto City Speedway,Auto City Speedway,auto-city-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,54,1996 Western Auto 100,,14-Jun-96,Lakeside Speedway,Lakeside Speedway,lakeside-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,55,1997 Miller Hawkeye 100,,14-Jun-97,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,56,1981 Coca-Cola 100 Race No. 1,,15-Aug-81,Berlin Raceway,Berlin Raceway,berlin-raceway,Bruce VanderLaan,Bruce VanderLaan,,bruce-vanderlaan,,
0,,,57,1981 Coca-Cola 100 Race No. 2,,15-Aug-81,Berlin Raceway,Berlin Raceway,berlin-raceway,Junior Hanley,Junior Hanley,,junior-hanley,,
0,,,58,1989 All-Star 100,,15-Aug-89,Rockford Speedway,Rockford Speedway,rockford-speedway,Rich Bickle,Rich Bickle,,rich-bickle,,
0,,,59,1980 All-Star 100,,15-Jul-80,Rockford Speedway,Rockford Speedway,rockford-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,60,1986 ARTGO All-Star 100,,15-Jul-86,Rockford Speedway,Rockford Speedway,rockford-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,61,1989 Michigan Challenge Race No. 1,,15-Jul-89,Berlin Raceway,Berlin Raceway,berlin-raceway,Butch Miller,Butch Miller,,butch-miller,,
0,,,62,1989 Michigan Challenge Race No. 2,,15-Jul-89,Berlin Raceway,Berlin Raceway,berlin-raceway,Butch Miller,Butch Miller,,butch-miller,,
0,,,63,1991 Chicagoland Showdown,,15-Jun-91,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,64,1996 Ozark Challenge 100,,15-Jun-96,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i-44-speedway,J.R. Roahrig,J.R. Roahrig,,jr-roahrig,,
0,,,65,1983 Escape to Wisconsin 100,,16-Jul-83,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,66,1985 All-Star 100,,16-Jul-85,Rockford Speedway,Rockford Speedway,rockford-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,67,1991 Mile High Challenge 150,,16-Jul-91,Colorado National Speedway,Colorado National Speedway,colorado-national-speedway,Rick Carelli,Rick Carelli,,rick-carelli,,
0,,,68,1981 ARTGO Tuesday Special Race No. 1,,16-Jun-81,Raceway Park (IL),Raceway Park (IL),raceway-park-il,Jim Sauter,Jim Sauter,,jim-sauter,,
0,,,69,1981 ARTGO Tuesday Special Race No. 2,,16-Jun-81,Raceway Park (IL),Raceway Park (IL),raceway-park-il,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,70,1990 Parts Plus Chicagoland Showdown,,16-Jun-90,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,71,1995 ARTGO Western Swing Country Mart 100,,16-Jun-95,Lakeside Speedway,Lakeside Speedway,lakeside-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,72,1984 Midwest Championships Race No. 1,,16-Sep-84,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,73,1984 Midwest Championships Race No. 2,,16-Sep-84,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,"Mark Martin (Batesville, AR)","Mark Martin (Batesville, AR)",,mark-martin-batesville-ar,,
0,,,74,1984 All-Star 100,,17-Jul-84,Rockford Speedway,Rockford Speedway,rockford-speedway,Bobby Allison (AL),Bobby Allison (AL),,bobby-allison-al,,
0,,,75,1980 Lake Geneva 100,,17-Jun-80,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,76,1989 Chicagoland Showdown,,17-Jun-89,Illiana Motor Speedway,Illiana Motor Speedway,illiana-motor-speedway,Butch Miller,Butch Miller,,butch-miller,,
0,,,77,1994 ARTGO Western Swing Race No. 1,,17-Jun-94,Lakeside Speedway,Lakeside Speedway,lakeside-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,78,1995 ARTGO Western Swing Ozark Challenge 100,,17-Jun-95,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i-44-speedway,Steve Carlson,Steve Carlson,,steve-carlson,,
0,,,79,1983 Midwest Championships Race No. 1,,17-Sep-83,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Jim Back,Jim Back,,jim-back,,
0,,,80,1994 ARTGO Tournament of Speed,,17-Sep-94,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Matt Kenseth,Matt Kenseth,,matt-kenseth,,
0,,,81,1987 Escape to Wisconsin 100,,18-Jul-87,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Joe Shear,Joe Shear,,joe-shear,,
0,,,82,ARTGO:1977-03,,18-Jun-77,Madison International Speedway,Madison International Speedway,madison-international-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,83,ARTGO:1977-04,,18-Jun-77,Madison International Speedway,Madison International Speedway,madison-international-speedway,Larry Schuler,Larry Schuler,,larry-schuler,,
0,,,84,ARTGO:1977-05,,18-Jun-77,Madison International Speedway,Madison International Speedway,madison-international-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,85,1994 ARTGO Western Swing Race No. 2,,18-Jun-94,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i-44-speedway,Dave Weltmeyer,Dave Weltmeyer,,dave-weltmeyer,,
0,,,86,1985 Wisconsin's First Big Special,,18-May-85,Madison International Speedway,Madison International Speedway,madison-international-speedway,Dick Trickle,Dick Trickle,,dick-trickle,,
0,,,87,1983 Midwest Championships Race No. 2,,18-Sep-83,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Tom Reffner,Tom Reffner,,tom-reffner,,
0,,,88,1983 Midwest Championships Race No. 3,,18-Sep-83,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Jim Back,Jim Back,,jim-back,,
0,,,89,1993 Miller Tournament of Speed,,18-Sep-93,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway,Jim Weber (MN),Jim Weber (MN),,jim-weber-mn,,
0,,,90,1989 ARTGO Spring Classic,,19-Apr-89,Rockford Speedway,Rockford Speedway,rockford-speedway,Joe Shear,Joe Shear,,joe-shear,,
0,,,91,1996 ARTGO Golden Sands 100,,19-Aug-96,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway,Neil Knoblock,Neil Knoblock,,neil-knoblock,,
0,,,92,1980 NGK Spark Plug Summer Nationals Race No. 1,,19-Jul-80,Dells Raceway Park,Dells Raceway Park,dells-raceway-park,Dick Trickle,Dick Trickle,,dick-trickle,,
