source_driver_name,alias_driver_name,museum_driver_name,driver_id,driver_slug,match_status,review_action,notes
A.J. Anderson (WI),,A.J. Anderson (WI),,aj-anderson-wi,,,
A.J. Cooper,,A.J. Cooper,,aj-cooper,,,
Aaron Daniel,,Aaron Daniel,,aaron-daniel,,,
Al Golueke,,Al Golueke,,al-golueke,,,
Al Laufer,,Al Laufer,,al-laufer,,,
Al Papini,,Al Papini,,al-papini,,,
Al Schill,,Al Schill,,al-schill,,,
"Al Schill, Jr.",,"Al Schill, Jr.",,al-schill-jr,,,
"Al Schill, Sr.",,"Al Schill, Sr.",,al-schill-sr,,,
Al Unser,,Al Unser,,al-unser,,,
Al Weinreich,,Al Weinreich,,al-weinreich,,,
Alan Kulwicki,,Alan Kulwicki,,alan-kulwicki,,,
Allen Check,,Allen Check,,allen-check,,,
Allen Yelle,,Allen Yelle,,allen-yelle,,,
Andy Bozell,,Andy Bozell,,andy-bozell,,,
Andy Wendt,,Andy Wendt,,andy-wendt,,,
Archie Griffin,,Archie Griffin,,archie-griffin,,,
Arnie Christen,,Arnie Christen,,arnie-christen,,,
Arnie Christian,,Arnie Christian,,arnie-christian,,,
Art Sommers,,Art Sommers,,art-sommers,,,
Augie Derenne,,Augie Derenne,,augie-derenne,,,
Axel Dahlberg,,Axel Dahlberg,,axel-dahlberg,,,
B.J. Sparkman,,B.J. Sparkman,,bj-sparkman,,,
Barbara Bosak,,Barbara Bosak,,barbara-bosak,,,
Barry Shaxon,,Barry Shaxon,,barry-shaxon,,,
Bart Reinen,,Bart Reinen,,bart-reinen,,,
Bay Darnell,,Bay Darnell,,bay-darnell,,,
Bert Weltmeyer,,Bert Weltmeyer,,bert-weltmeyer,,,
Biff George,,Biff George,,biff-george,,,
Bill Berkheimer,,Bill Berkheimer,,bill-berkheimer,,,
Bill Goss,,Bill Goss,,bill-goss,,,
Bill Lenza,,Bill Lenza,,bill-lenza,,,
Bill Oas,,Bill Oas,,bill-oas,,,
"Bill Skinner, Jr.",,"Bill Skinner, Jr.",,bill-skinner-jr,,,
Bill Snowden,,Bill Snowden,,bill-snowden,,,
Bill Venturini,,Bill Venturini,,bill-venturini,,,
Bill Woodworth,,Bill Woodworth,,bill-woodworth,,,
Bill Zardo,,Bill Zardo,,bill-zardo,,,
Billy Deckman,,Billy Deckman,,billy-deckman,,,
Billy Kuhn,,Billy Kuhn,,billy-kuhn,,,
Billy Shotko,,Billy Shotko,,billy-shotko,,,
"Billy Sontag, Jr.",,"Billy Sontag, Jr.",,billy-sontag-jr,,,
Bob Abitz,,Bob Abitz,,bob-abitz,,,
Bob Brownell,,Bob Brownell,,bob-brownell,,,
Bob Carnes,,Bob Carnes,,bob-carnes,,,
Bob Curry,,Bob Curry,,bob-curry,,,
Bob Delaney,,Bob Delaney,,bob-delaney,,,
Bob Fix,,Bob Fix,,bob-fix,,,
Bob Fox,,Bob Fox,,bob-fox,,,
Bob Gunn,,Bob Gunn,,bob-gunn,,,
Bob Holley,,Bob Holley,,bob-holley,,,
Bob Iverson,,Bob Iverson,,bob-iverson,,,
Bob Jusola,,Bob Jusola,,bob-jusola,,,
Bob Lee,,Bob Lee,,bob-lee,,,
Bob Menor,,Bob Menor,,bob-menor,,,
Bob Roosa,,Bob Roosa,,bob-roosa,,,
Bob Roper,,Bob Roper,,bob-roper,,,
Bob Schippers,,Bob Schippers,,bob-schippers,,,
Bob Senneker,,Bob Senneker,,bob-senneker,,,
Bob Sensiba,,Bob Sensiba,,bob-sensiba,,,
Bob Smith (VA),,Bob Smith (VA),,bob-smith-va,,,
Bob Strait,,Bob Strait,,bob-strait,,,
Bob Theriault,,Bob Theriault,,bob-theriault,,,
Bob Vale,,Bob Vale,,bob-vale,,,
Bobby Allison (AL),,Bobby Allison (AL),,bobby-allison-al,,,
Bobby Blount,,Bobby Blount,,bobby-blount,,,
Bobby Dotter,,Bobby Dotter,,bobby-dotter,,,
Bobby Gill,,Bobby Gill,,bobby-gill,,,
Bobby Gunn,,Bobby Gunn,,bobby-gunn,,,
Bobby Iverson,,Bobby Iverson,,bobby-iverson,,,
Bobby McDonald,,Bobby McDonald,,bobby-mcdonald,,,
Bobby Menzie,,Bobby Menzie,,bobby-menzie,,,
Bobby Turzinski,,Bobby Turzinski,,bobby-turzinski,,,
Bobby Weiss,,Bobby Weiss,,bobby-weiss,,,
Bobby Weltmeyer,,Bobby Weltmeyer,,bobby-weltmeyer,,,
Bobby Wilberg,,Bobby Wilberg,,bobby-wilberg,,,
Boyes Sparkman,,Boyes Sparkman,,boyes-sparkman,,,
Brad Campbell,,Brad Campbell,,brad-campbell,,,
Brad Gress,,Brad Gress,,brad-gress,,,
Brad Loney,,Brad Loney,,brad-loney,,,
Brad Miller,,Brad Miller,,brad-miller,,,
Brad Mueller,,Brad Mueller,,brad-mueller,,,
Brian Holzhausen,,Brian Holzhausen,,brian-holzhausen,,,
Brian Hoppe,,Brian Hoppe,,brian-hoppe,,,
Brian Johnson (MN),,Brian Johnson (MN),,brian-johnson-mn,,,
Brian Joski,,Brian Joski,,brian-joski,,,
Brian Ross (IN),,Brian Ross (IN),,brian-ross-in,,,
Bruce Bares,,Bruce Bares,,bruce-bares,,,
Bruce Lee,,Bruce Lee,,bruce-lee,,,
Bruce O'Dell,,Bruce O'Dell,,bruce-odell,,,
Bruce VanderLaan,,Bruce VanderLaan,,bruce-vanderlaan,,,
Bruce White (WI),,Bruce White (WI),,bruce-white-wi,,,
Bruce Yackey,,Bruce Yackey,,bruce-yackey,,,
Bryan Daniel,,Bryan Daniel,,bryan-daniel,,,
Bryan Marcott,,Bryan Marcott,,bryan-marcott,,,
Bryan Reffner,,Bryan Reffner,,bryan-reffner,,,
Bud Kaye,,Bud Kaye,,bud-kaye,,,
Buddy Baker,,Buddy Baker,,buddy-baker,,,
Buddy Hall,,Buddy Hall,,buddy-hall,,,
Buddy Schrock,,Buddy Schrock,,buddy-schrock,,,
Burt Weitemeyer,,Burt Weitemeyer,,burt-weitemeyer,,,
Burt Weltmeyer,,Burt Weltmeyer,,burt-weltmeyer,,,
Butch Ledy,,Butch Ledy,,butch-ledy,,,
Butch Mierendorf,,Butch Mierendorf,,butch-mierendorf,,,
Butch Miller,,Butch Miller,,butch-miller,,,
Carl Lund,,Carl Lund,,carl-lund,,,
Carl Tammi,,Carl Tammi,,carl-tammi,,,
Chad Little (WA),,Chad Little (WA),,chad-little-wa,,,
Chad Nolting,,Chad Nolting,,chad-nolting,,,
Chad Roffers,,Chad Roffers,,chad-roffers,,,
Chad Wood,,Chad Wood,,chad-wood,,,
Charlie Schwoch,,Charlie Schwoch,,charlie-schwoch,,,
Chris Miles,,Chris Miles,,chris-miles,,,
Chris Orr,,Chris Orr,,chris-orr,,,
Chris Weinkauf,,Chris Weinkauf,,chris-weinkauf,,,
Chuck Acres,,Chuck Acres,,chuck-acres,,,
Chuck Dunshee,,Chuck Dunshee,,chuck-dunshee,,,
Chuck Roumell,,Chuck Roumell,,chuck-roumell,,,
Chuck Sproull,,Chuck Sproull,,chuck-sproull,,,
Clark Dwyer,,Clark Dwyer,,clark-dwyer,,,
Cliff Ebben,,Cliff Ebben,,cliff-ebben,,,
Cliff Leach,,Cliff Leach,,cliff-leach,,,
Cliff Pulley,,Cliff Pulley,,cliff-pulley,,,
Conrad Morgan,,Conrad Morgan,,conrad-morgan,,,
Coy Williams,,Coy Williams,,coy-williams,,,
Craig Johnson,,Craig Johnson,,craig-johnson,,,
Craig Letourneau,,Craig Letourneau,,craig-letourneau,,,
Craig Peterson,,Craig Peterson,,craig-peterson,,,
Curt Cheshire,,Curt Cheshire,,curt-cheshire,,,
Curt Martin,,Curt Martin,,curt-martin,,,
Curt Showalter,,Curt Showalter,,curt-showalter,,,
Curt Tillman,,Curt Tillman,,curt-tillman,,,
Dale Earnhardt,,Dale Earnhardt,,dale-earnhardt,,,
Dale Hirschfield,,Dale Hirschfield,,dale-hirschfield,,,
Dale Peterson,,Dale Peterson,,dale-peterson,,,
Dale Strasberg,,Dale Strasberg,,dale-strasberg,,,
Dale Valentyne,,Dale Valentyne,,dale-valentyne,,,
Dale Weyer,,Dale Weyer,,dale-weyer,,,
Dan Gracyalny,,Dan Gracyalny,,dan-gracyalny,,,
Dan Konieczny,,Dan Konieczny,,dan-konieczny,,,
Dan Konieczy,,Dan Konieczy,,dan-konieczy,,,
Dan O'Dell,,Dan O'Dell,,dan-odell,,,
Dan Odel,,Dan Odel,,dan-odel,,,
Dan Prziborowski,,Dan Prziborowski,,dan-prziborowski,,,
Dan Shewmake,,Dan Shewmake,,dan-shewmake,,,
Dan Young,,Dan Young,,dan-young,,,
Danny Darnell,,Danny Darnell,,danny-darnell,,,
Danny Duke,,Danny Duke,,danny-duke,,,
Danny Prziborowski,,Danny Prziborowski,,danny-prziborowski,,,
Darrell Waltrip,,Darrell Waltrip,,darrell-waltrip,,,
Dave Cox,,Dave Cox,,dave-cox,,,
