series_event_id,finishing_position,starting_position,car_number,driver_name,sponsor,make,laps,led,status,points,result_section,source_url,driver_id,driver_slug
335,1,,,Tim Lemirande,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,2,,,Benji LaCrosse,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,3,,,Shawn Kilgore,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,4,,,Sean Jerovetz,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,5,,,Aaron Rake,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,6,,,Todd Dart,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,7,,,Jared Siefert,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,8,,,Mike Mullen,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,9,,,Tim Czarneski,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,10,,,Tony Wedelstadt,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,11,,,Jeremy Christians,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,12,,,Eric Arneson,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,13,,,Russ Reinwald,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,14,,,Kyle Frederick,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,15,,,"Eddie Lemay, Jr.",,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,16,,,Lance Arneson,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,17,,,Joel Crowbridge,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
335,18,,,Brian Mullen,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,,
