third_turn_driver_name,result_count,museum_driver_name,driver_slug,driver_id,match_status,notes
1JZ,1,,,,,
21CZ,1,,,,,
Aaron Rake,3,,,,,
Benji LaCrosse,10,,,,,
Brad Lautenbach,6,,,,,
Brad McGuire,1,,,,,
Brad Rohloff,3,,,,,
Brad Theys,1,,,,,
Brian Crapser,1,,,,,
Brian Drexler,1,,,,,
Brian Joski,3,,,,,
Brian Mullen,11,,,,,
Bruce Belland,1,,,,,
Cameron Kuxhouse,1,,,,,
Chad Bartel,2,,,,,
Chris Carlson,2,,,,,
Chris Piquette,1,,,,,
Cody Hudson,3,,,,,
Cory Cochart,1,,,,,
Craig Priewe,12,,,,,
Dave Zeitler,3,,,,,
David Schoenberger,2,,,,,
Dean Maurer,3,,,,,
Don Scheffler,4,,,,,
"Eddie Lemay, Jr.",12,,,,,
Eddie Muenster,1,,,,,
Eric Arneson,2,,,,,
Eric Mahlik,6,,,,,
Eric Scribner,1,,,,,
Eric Van Iten,7,,,,,
"Eugene Gregorich, Jr.",1,,,,,
Jamie Schmidt,6,,,,,
Jared Siefert,7,,,,,
Jarrod Anvelink,1,,,,,
Jason Briese,2,,,,,
Jason Czarapata,1,,,,,
Jason Hyerdall,2,,,,,
Jason Zdroik,5,,,,,
Jay Matthias,1,,,,,
"Jeff Bodendorfer, Jr.",1,,,,,
Jeff Steenbergen,3,,,,,
Jeremy Christians,10,,,,,
Jeremy Jacobs,1,,,,,
Jerry Wilinski,3,,,,,
Jim Zdroik,3,,,,,
Joe McGrath,11,,,,,
Joel Crowbridge,5,,,,,
John Schultz,1,,,,,
Johnny Whitman,4,,,,,
Josh Chambers,1,,,,,
Josh Long,1,,,,,
Justin Ritchie,2,,,,,
Kurt Moeller,2,,,,,
Kyle Frederick,5,,,,,
Kyle Kudick,5,,,,,
Kyle Lentz,2,,,,,
Lance Arneson,14,,,,,
Marcus Yarie,7,,,,,
Mark Joski,1,,,,,
Mark Weisnicht,6,,,,,
Matt Oreskovich,1,,,,,
Matt Rechek,9,,,,,
Mike Joski,1,,,,,
Mike Klenz,1,,,,,
Mike Mueller,1,,,,,
Mike Mullen,8,,,,,
Mike Sullivan,1,,,,,
Mike Wedelstadt,2,,,,,
Mitch McGrath,14,,,,,
Mitch Webber,1,,,,,
Nick Firari,2,,,,,
Nick Simons,1,,,,,
Noah Schepp,1,,,,,
Pat Zdroik,8,,,,,
Paul Parker,1,,,,,
Phil Rehberg,1,,,,,
R.M. Van Pay,2,,,,,
"Randy Markwardt, Jr.",4,,,,,
Russ Reinwald,8,,,,,
Scott Kuxhouse,2,,,,,
Sean Jerovetz,2,,,,,
Shawn Kilgore,3,,,,,
T.J. Smith,1,,,,,
Tim Czarneski,2,,,,,
Tim Jorgenson,2,,,,,
Tim Lemirande,10,,,,,
Todd Dart,6,,,,,
Tom Schaal,8,,,,,
Tony Wedelstadt,5,,,,,
Travis Spaulding,1,,,,,
Tyler Hackett,2,,,,,
