third_turn_driver_name,result_count,museum_driver_name,driver_slug,driver_id,match_status,match_score,notes
1JZ,1,A.J. Zvorak,aj-zvorak,24102,new_or_unmatched,0.333,
21CZ,1,Aaron Karcz,aaron-karcz,24129,new_or_unmatched,0.267,
Aaron Rake,3,Aaron Rake,aaron-rake,24142,matched_exact,1.000,
Benji LaCrosse,10,A.J. Roschen,aj-roschen,24095,new_or_unmatched,0.500,
Brad Lautenbach,6,Aaron Dunbar,aaron-dunbar,24116,new_or_unmatched,0.444,
Brad McGuire,1,A.J. Miller,aj-miller,24093,new_or_unmatched,0.476,
Brad Rohloff,3,Aaron Hoff,aaron-hoff,24125,new_or_unmatched,0.636,
Brad Theys,1,A.J. Hedges,aj-hedges,24084,new_or_unmatched,0.526,
Brian Crapser,1,Aaron Rake,aaron-rake,24142,new_or_unmatched,0.522,
Brian Drexler,1,Aaron Reimers,aaron-reimers,24143,new_or_unmatched,0.538,
Brian Joski,3,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.500,
Brian Mullen,11,Aaron Muhle,aaron-muhle,24137,new_or_unmatched,0.609,
Bruce Belland,1,Aaron Blacklance,aaron-blacklance,24110,new_or_unmatched,0.483,
Cameron Kuxhouse,1,Aaron Muhle,aaron-muhle,24137,new_or_unmatched,0.593,
Chad Bartel,2,A. Arnold,a-arnold,24076,new_or_unmatched,0.526,
Chris Carlson,2,Aaron Carlson,aaron-carlson,24113,new_or_unmatched,0.692,
Chris Piquette,1,Aaron Peterson,aaron-peterson,24140,new_or_unmatched,0.429,
Cody Hudson,3,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.500,
Cory Cochart,1,Aaron Melchert,aaron-melchert,24133,new_or_unmatched,0.462,
Craig Priewe,12,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.500,
Dave Zeitler,3,A.J. Miller,aj-miller,24093,new_or_unmatched,0.571,
David Schoenberger,2,Aaron Homberg,aaron-homberg,24127,new_or_unmatched,0.516,
Dean Maurer,3,Aaron Marthaler,aaron-marthaler,24131,new_or_unmatched,0.615,
Don Scheffler,4,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.593,
"Eddie Lemay, Jr.",12,A.E. Maynor,ae-maynor,24079,new_or_unmatched,0.500,
Eddie Muenster,1,A.J. Viehauser,aj-viehauser,24100,new_or_unmatched,0.462,
Eric Arneson,2,Aaron Benson,aaron-benson,24105,new_or_unmatched,0.583,
Eric Mahlik,6,Aaron Mashlan,aaron-mashlan,24132,new_or_unmatched,0.500,
Eric Scribner,1,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.519,
Eric Van Iten,7,Aaron Cain,aaron-cain,24112,new_or_unmatched,0.435,
"Eugene Gregorich, Jr.",1,Aaron Gretz,aaron-gretz,24122,new_or_unmatched,0.370,
Jamie Schmidt,6,Aaron Melchert,aaron-melchert,24133,new_or_unmatched,0.444,
Jared Siefert,7,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.519,
Jarrod Anvelink,1,Aaron Cain,aaron-cain,24112,new_or_unmatched,0.560,
Jason Briese,2,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.667,
Jason Czarapata,1,Aaron Carlson,aaron-carlson,24113,new_or_unmatched,0.500,
Jason Hyerdall,2,Aaron Doll,aaron-doll,24115,new_or_unmatched,0.583,
Jason Zdroik,5,Aaron Hendricks,aaron-hendricks,24124,new_or_unmatched,0.593,
Jay Matthias,1,A.J. Smith IL,aj-smith-il,24098,new_or_unmatched,0.522,
"Jeff Bodendorfer, Jr.",1,A.J. Dancer,aj-dancer,24081,new_or_unmatched,0.480,
