third_turn_driver_name,result_count,museum_driver_name,driver_id,driver_slug,match_status,match_score,suspected_issue,review_action,notes
1JZ,1,Jay Folz,34756,jay-folz,new_or_unmatched,0.364,possible_car_number_parsed_as_driver,,
21CZ,1,Jim Sucz,36274,jim-sucz,new_or_unmatched,0.333,possible_car_number_parsed_as_driver,,
Aaron Rake,3,Aaron Rake,24142,aaron-rake,matched_exact,1,,,
Benji LaCrosse,10,Benji LaCrosse,25188,benji-lacrosse,matched_exact,1,,,
Brad Lautenbach,6,Brad Lautenbach,26512,brad-lautenbach,matched_exact,1,,,
Brad McGuire,1,Brad McGuire,26523,brad-mcguire,matched_exact,1,,,
Brad Rohloff,3,Brad Rohloff,26546,brad-rohloff,matched_exact,1,,,
Brad Theys,1,Brad Theys,26557,brad-theys,matched_exact,1,,,
Brian Crapser,1,Brian Crapser,26904,brian-crapser,matched_exact,1,,,
Brian Drexler,1,Brian Drexler,26909,brian-drexler,matched_exact,1,,,
Brian Joski,3,Brian Joski,26974,brian-joski,matched_exact,1,,,
Brian Mullen,11,Brian Mullen,27013,brian-mullen,matched_exact,1,,,
Bruce Belland,1,Bruce Belland,27161,bruce-belland,matched_exact,1,,,
Cameron Kuxhouse,1,Cameron Kuxhouse,27562,cameron-kuxhouse,matched_exact,1,,,
Chad Bartel,2,Chad Bartel,27734,chad-bartel,matched_exact,1,,,
Chris Carlson,2,Chris Calson,28070,chris-calson,matched_fuzzy_review,0.96,,,
Chris Piquette,1,Chris Piquette,28201,chris-piquette,matched_exact,1,,,
Cody Hudson,3,Cody Hudson,28593,cody-hudson,matched_exact,1,,,
Cory Cochart,1,Cory Cochart,28806,cory-cochart,matched_exact,1,,,
Craig Priewe,12,Craig Priewe,28907,craig-priewe,matched_exact,1,,,
Dave Zeitler,3,Dave Zeitler,30284,dave-zeitler,matched_exact,1,,,
David Schoenberger,2,Dave Schoenberger,30177,dave-schoenberger,possible_match,0.914,,,
Dean Maurer,3,Dean Maurer,30452,dean-maurer,matched_exact,1,,,
Don Scheffler,4,Don Scheffler,31432,don-scheffler,matched_exact,1,,,
"Eddie Lemay, Jr.",12,Eddie Lemay Jr.,32149,eddie-lemay-jr,matched_exact,1,,,
Eddie Muenster,1,Eddie Muenster,32163,eddie-muenster,matched_exact,1,,,
Eric Arneson,2,Eric Arneson,32253,eric-arneson,matched_exact,1,,,
Eric Mahlik,6,Eric Mahlik,32320,eric-mahlik,matched_exact,1,,,
Eric Scribner,1,Eric Scribner,32354,eric-scribner,matched_exact,1,,,
Eric Van Iten,7,Eric Van Iten,32360,eric-van-iten,matched_exact,1,,,
"Eugene Gregorich, Jr.",1,"Eugene Gregorich, Jr.",32442,eugene-gregorich-jr,matched_exact,1,,,
Jamie Schmidt,6,Jamie Schmidt,34463,jamie-schmidt,matched_exact,1,,,
Jared Siefert,7,Jared Siefert,34503,jared-siefert,matched_exact,1,,,
Jarrod Anvelink,1,Jarrod Anvelink,34515,jarrod-anvelink,matched_exact,1,,,
Jason Briese,2,Jason Brewster,34545,jason-brewster,new_or_unmatched,0.846,,,
Jason Czarapata,1,Jason Czarapata,34558,jason-czarapata,matched_exact,1,,,
Jason Hyerdall,2,Jason Heyerdall,34602,jason-heyerdall,matched_fuzzy_review,0.966,,,
Jason Zdroik,5,Jason Zdroik,34737,jason-zdroik,matched_exact,1,,,
Jay Matthias,1,Jay Matthias,34772,jay-matthias,matched_exact,1,,,
"Jeff Bodendorfer, Jr.",1,Jeff Bodendorfer,34860,jeff-bodendorfer,matched_exact,1,,,
Jeff Steenbergen,3,Jeff Steenbergen,35107,jeff-steenbergen,matched_exact,1,,,
Jeremy Christians,10,Jeremy Christians,35236,jeremy-christians,matched_exact,1,,,
Jeremy Jacobs,1,Jeremy Jacobs,35264,jeremy-jacobs,matched_exact,1,,,
Jerry Wilinski,3,Jerry Wilinski,35643,jerry-wilinski,matched_exact,1,,,
Jim Zdroik,3,Jim Zdroik,36345,jim-zdroik,matched_exact,1,,,
Joe McGrath,11,Joe McGrath,36611,joe-mcgrath,matched_exact,1,,,
Joel Crowbridge,5,Joel Crowbridge,36756,joel-crowbridge,matched_exact,1,,,
John Schultz,1,John Schultz III,37238,john-schultz-iii,matched_exact,1,,,
Johnny Whitman,4,Johnny Whitman,37415,johnny-whitman,matched_exact,1,,,
Josh Chambers,1,Josh Chambers,37597,josh-chambers,matched_exact,1,,,
Josh Long,1,Josh Long,37626,josh-long,matched_exact,1,,,
Justin Ritchie,2,Justin Ritchie,37829,justin-ritchie,matched_exact,1,,,
Kurt Moeller,2,Kurt Moeller,38747,kurt-moeller,matched_exact,1,,,
Kyle Frederick,5,Kyle Frederick,38803,kyle-frederick,matched_exact,1,,,
