series_event_id,finishing_position,starting_position,car_number,driver_name,sponsor,make,laps,led,status,points,result_section,source_url,driver_id,driver_slug
335,1,,,Tim Lemirande,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,46246,tim-lemirande
335,2,,,Benji LaCrosse,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,25188,benji-lacrosse
335,3,,,Shawn Kilgore,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,45139,shawn-kilgore
335,4,,,Sean Jerovetz,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,45008,sean-jerovetz
335,5,,,Aaron Rake,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,24142,aaron-rake
335,6,,,Todd Dart,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,46453,todd-dart
335,7,,,Jared Siefert,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,34503,jared-siefert
335,8,,,Mike Mullen,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,41124,mike-mullen
335,9,,,Tim Czarneski,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,46177,tim-czarneski
335,10,,,Tony Wedelstadt,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,47101,tony-wedelstadt
335,11,,,Jeremy Christians,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,35236,jeremy-christians
335,12,,,Eric Arneson,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,32253,eric-arneson
335,13,,,Russ Reinwald,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,44364,russ-reinwald
335,14,,,Kyle Frederick,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,38803,kyle-frederick
335,15,,,"Eddie Lemay, Jr.",,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,32149,eddie-lemay-jr
335,16,,,Lance Arneson,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,38902,lance-arneson
335,17,,,Joel Crowbridge,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,36756,joel-crowbridge
335,18,,,Brian Mullen,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,27013,brian-mullen
335,19,,,Jason Briese,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,48194,jason-briese
335,20,,,Cory Cochart,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,28806,cory-cochart
335,21,,,Johnny Whitman,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,37415,johnny-whitman
335,22,,,Dave Zeitler,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,30284,dave-zeitler
335,23,,,Jason Zdroik,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,34737,jason-zdroik
335,24,,,Mitch McGrath,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,41431,mitch-mcgrath
336,1,,,Mitch McGrath,,,,,,,Feature Results,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-03,41431,mitch-mcgrath
