season_id,finishing_position,driver_name,driver_id,points,starts,wins,top5,top10,poles
53,1,Brian Mullen,,,7,1,5,6,
53,2,Mitch McGrath,,,7,3,5,6,
53,2,Jeremy Christians,,,7,0,1,2,
53,2,Lance Arneson,,,7,1,1,1,
53,2,Mike Mullen,,,7,0,2,6,
53,2,Russ Reinwald,,,7,0,2,5,
53,2,"Eddie Lemay, Jr.",,,6,0,0,2,
53,2,Jared Siefert,,,6,0,1,3,
53,2,Matt Rechek,,,6,0,0,2,
53,2,Tim Lemirande,,,6,1,1,2,
54,1,Mitch McGrath,,738,7,3,6,6,
54,2,Eric Van Iten,,676,7,0,5,5,
54,3,Craig Priewe,,653,7,0,2,5,
54,4,"Eddie Lemay, Jr.",,602,6,0,2,4,
54,5,Benji LaCrosse,,597,5,2,3,4,
54,6,Lance Arneson,,593,7,0,2,3,
54,7,Joe McGrath,,582,6,0,0,4,
54,8,Tim Lemirande,,572,5,1,2,2,
54,9,Brad Lautenbach,,545,6,0,1,2,
54,10,Pat Zdroik,,543,6,0,0,3,
