standings_driver_name,museum_driver_name,driver_id,driver_slug,match_status,match_score,review_action,notes
Adam Reed,Adam Reed,24238,adam-reed,matched_exact,1.000,use_existing_driver,
Andrew Araco,Andrew Araco,24625,andrew-araco,matched_exact,1.000,use_existing_driver,
Andy Gross,Andy Gross,24710,andy-gross,matched_exact,1.000,use_existing_driver,
Andy Kleczka,Andy Kleczka,24727,andy-kleczka,matched_exact,1.000,use_existing_driver,
Bart Sievert,Bart Sievert,25084,bart-sievert,matched_exact,1.000,use_existing_driver,
Beatle Bailey,Beetle Bailey,25104,beetle-bailey,possible_match,0.923,,
Ben Godlewski,Ben Godlewski,25127,ben-godlewski,matched_exact,1.000,use_existing_driver,
Cayden Carter,Cayden Carter,27722,cayden-carter,matched_exact,1.000,use_existing_driver,
Chad Hummelmeier,Chad Hummelmeier,27779,chad-hummelmeier,matched_exact,1.000,use_existing_driver,
Chad Olson,Chad Olsen,27808,chad-olsen,possible_match,0.900,,
Charlie Wild,Charlie Wild,27969,charlie-wild,matched_exact,1.000,use_existing_driver,
Chris Budzban,Chris Budzban,28066,chris-budzban,matched_exact,1.000,use_existing_driver,
Chris Engels,Chris Engels,28097,chris-engels,matched_exact,1.000,use_existing_driver,
Chuck Carmin,Chuck Carmin,28309,chuck-carmin,matched_exact,1.000,use_existing_driver,
Clayton Holland,Clayton Holland,28482,clayton-holland,matched_exact,1.000,use_existing_driver,
Dan Jung,Dan Jung,29347,dan-jung,matched_exact,1.000,use_existing_driver,
Dan Ratajczak,Andy Ratajczak,24758,andy-ratajczak,possible_match,0.889,,
Dan Roedl,Dan Roedl,29452,dan-roedl,matched_exact,1.000,use_existing_driver,
Darin Duffy,Darin Duffy,29646,darin-duffy,matched_exact,1.000,use_existing_driver,
Dave Jaeger,Dale Jaeger,29088,dale-jaeger,possible_match,0.909,,
David Jaeger,David Jaeger,30336,david-jaeger,matched_exact,1.000,use_existing_driver,
Dennis Schultz,Dennis Schultz,30663,dennis-schultz,matched_exact,1.000,use_existing_driver,
Derek Kozak,Derek Kaat,30794,derek-kaat,new_or_unmatched,0.762,,
Devon Havlik,Dave Pavlik,30128,dave-pavlik,new_or_unmatched,0.696,,
Dustin Jackson,Dusty Jackson,31866,dusty-jackson,possible_match,0.889,,
Eddie Blaine,Eddie Brink,32132,eddie-brink,new_or_unmatched,0.783,,
Greg Wichman,Greg Wichman,33589,greg-wichman,matched_exact,1.000,use_existing_driver,
Guy Carley,Guy Carley,33624,guy-carley,matched_exact,1.000,use_existing_driver,
James Tebon,James Tebon,34412,james-tebon,matched_exact,1.000,use_existing_driver,
Jason Buss,Jason Buss,34548,jason-buss,matched_exact,1.000,use_existing_driver,
Jay Noteboom,Jay Noteboom,34777,jay-noteboom,matched_exact,1.000,use_existing_driver,
Jeff Connor,Jeff Cannon,34873,jeff-cannon,new_or_unmatched,0.818,,
Jerry Muenster,Jerry Muenster,35535,jerry-muenster,matched_exact,1.000,use_existing_driver,
Jesse Peebles,Jesse Peebles,35710,jesse-peebles,matched_exact,1.000,use_existing_driver,
Jimmy Gustin,Jimmy Ganski,36371,jimmy-ganski,new_or_unmatched,0.750,,
Joey Taycher,Joey Taycher,36806,joey-taycher,matched_exact,1.000,use_existing_driver,
John Berna,John Berna,36850,john-berna,matched_exact,1.000,use_existing_driver,
John Dost,John Dost,36929,john-dost,matched_exact,1.000,use_existing_driver,
Josh Zdroik,Jason Zdroik,34737,jason-zdroik,new_or_unmatched,0.783,,
Justin O'Brien,Justin Sobieck,37838,justin-sobieck,new_or_unmatched,0.815,,
Kyle Strickler,Kyle Strickler,38874,kyle-strickler,matched_exact,1.000,use_existing_driver,
Lee Tibbitts,Lee Tibbitts,39274,lee-tibbitts,matched_exact,1.000,use_existing_driver,
Mark Brunner,Mark Brunner,39884,mark-brunner,matched_exact,1.000,use_existing_driver,
Matt Drawenek,Matt Drawenek,40314,matt-drawenek,matched_exact,1.000,use_existing_driver,
Mike Conn,Mike Conn,40827,mike-conn,matched_exact,1.000,use_existing_driver,
Mike Fillion,Mike Dillon ,40851,mike-dillon-,possible_match,0.870,,
Mike Simons,Mike Simons,41265,mike-simons,matched_exact,1.000,use_existing_driver,
Mike Wittenburg,Mike Wittenburg,41361,mike-wittenburg,matched_exact,1.000,use_existing_driver,
Nick Woods,Nick Woods,41785,nick-woods,matched_exact,1.000,use_existing_driver,
Rob Charapata,Rob Charapata,43467,rob-charapata,matched_exact,1.000,use_existing_driver,
Rob Schmid,Rob Schmid,43510,rob-schmid,matched_exact,1.000,use_existing_driver,
Ron Pope,Ron Poppe,44084,ron-poppe,matched_fuzzy_review,0.941,,
Russ Huxford,Russ Huxford,44332,russ-huxford,matched_exact,1.000,use_existing_driver,
Ryan Ruter,Ryan Ruter,44549,ryan-ruter,matched_exact,1.000,use_existing_driver,
Scott Crowbridge,Scott Crowbridge,44718,scott-crowbridge,matched_exact,1.000,use_existing_driver,
Scott Magsamen,Scott Magsamen,44840,scott-magsamen,matched_exact,1.000,use_existing_driver,
Shawn Frelich,Shawn Frehlich,45123,shawn-frehlich,matched_fuzzy_review,0.963,,
Steve Mueller,Steve Mueller,45613,steve-mueller,matched_exact,1.000,use_existing_driver,
Terry Hilgendorf,Carl Hilgendorf,27616,carl-hilgendorf,new_or_unmatched,0.774,,
Tim Robbins,Tim Robbins,46323,tim-robbins,matched_exact,1.000,use_existing_driver,
Troy Jerovetz,Troy Jerovetz,47347,troy-jerovetz,matched_exact,1.000,use_existing_driver,
Will Sorce,Will Sorce,47934,will-sorce,matched_exact,1.000,use_existing_driver,
