id,driver_name,,slug,,,,
24065,... Nowicki,... Nowicki,#NAME?,,,,1 95 Gary Doehling 467
24062,#41 - Unknown,#41 - Unknown,#41---unknown,,... Nowicki,,2 77 Rick Amundson 460
24063,#74 - unknown,#74 - unknown,#74---unknown,,,,3 50 Steve Seitz 424
24064,#98j - unknown,#98j - unknown,#98j---unknown,,,,4 10 Dean Stadler 422
48121,07 - Unknown,07 - Unknown,07---unknown,,,,5 25 Samantha Doehling   408
48122,109 - Unknown,109 - Unknown,109---unknown,,,,6 78m Tim McBriar 405
24066,25 - no name,25 - no name,25---no-name,,,,7 80 Steve Baker 393
24067,33 - no name,33 - no name,33---no-name,,,,8 73 Paul Delap 337
24068,40 - no name,40 - no name,40---no-name,,,,9 11s Dave Schaefer 333
24069,44 - no name,44 - no name,44---no-name,,,,10 20p Terry Proctor 332
24070,55 - no name,55 - no name,55---no-name,,,,11 3d Victor Duket 329
24071,77 - no name,77 - no name,77---no-name,,,,12 47 Alan Long 311
24072,87-no name,87-no name,87-no-name,,,,13 99 Scott Beckman 304
24073,88 - no name,88 - no name,88---no-name,,,,14 07n Gary Neau   275
24074,90 - no name,90 - no name,90---no-name,,,,15 85 Steve Doehling 269
24075,96 - no name,96 - no name,96---no-name,,,,16 5 Tim Doehling  257
24076,A. Arnold,A. Arnold,a-arnold,,,,17 21r Tim Reichenberger  255
24077,A. Matterperlick,A. Matterperlick,a-matterperlick,,,,18 15h Dale Herring 252
24078,A. Trautman,A. Trautman,a-trautman,,,,19 20a Bill Angermeyer 248
24079,A.E. Maynor,A.E. Maynor,ae-maynor,,,,20 17 Aaron Stroud 246
24080,A.J. Acardi,A.J. Acardi,aj-acardi,,,,21 8a Dave Averkamp 238
24081,A.J. Dancer,A.J. Dancer,aj-dancer,,,,22 9f Frank Fohrmiller 225
24082,A.J. Fike,A.J. Fike,aj-fike,,,,23 7 Russ Dietzen 173
24083,A.J. Foyt,A.J. Foyt,aj-foyt,,,,24 19 David Hoerning 161
24084,A.J. Hedges,A.J. Hedges,aj-hedges,,,,25 00 Nick Staub 156
24085,A.J. Heuer,A.J. Heuer,aj-heuer,,,,26 1 Mike King 151
24086,A.J. Hoff,A.J. Hoff,aj-hoff,,,,27 6p David Pavlak 151
24087,A.J. House,A.J. House,aj-house,,,,28 11e Kirk Ecklund 149
24088,A.J. Kania,A.J. Kania,aj-kania,,,,29 8n Jeff Janke 129
24089,A.J. Kellar,A.J. Kellar,aj-kellar,,,,30 60m Dave Mueller 103
24090,A.J. Kreager,A.J. Kreager,aj-kreager,,,,31 8n Dave Newman 99
24091,A.J. Lindberg,A.J. Lindberg,aj-lindberg,,,,32 71 Justin Stuck 89
24092,A.J. Lloyd,A.J. Lloyd,aj-lloyd,,,,33 22d Dan Dehn 86
24093,A.J. Miller,A.J. Miller,aj-miller,,,,34 70 John Hiles 85
24094,A.J. Olson,A.J. Olson,aj-olson,,,,35 22s Peter Schwab 73
24095,A.J. Roschen,A.J. Roschen,aj-roschen,,,,36 22 Richard Schwab 47
24096,A.J. Shepherd,A.J. Shepherd,aj-shepherd,,,,37 16b Kevin Bethke 45
24097,A.J. Smith,A.J. Smith,aj-smith,,,,38 9h Travis Hoernke 41
24098,A.J. Smith IL,A.J. Smith IL,aj-smith-il,,,,39 70m Brad Meyer 40
24099,A.J. Springborn,A.J. Springborn,aj-springborn,,,,40 16h Brian Henry 38
24100,A.J. Viehauser,A.J. Viehauser,aj-viehauser,,,,41 96h Ken Wilde 36
24101,A.J. Wiste,A.J. Wiste,aj-wiste,,,,42 45m Jay Masterson 29
24102,A.J. Zvorak,A.J. Zvorak,aj-zvorak,,,,43 69 Tom Brink 25
24103,Aaron Andruskevitch,Aaron Andruskevitch,aaron-andruskevitch,,,,44 33s Scott Solomon 24
24104,Aaron Bennett,Aaron Bennett,aaron-bennett,,,,"45 52v Charlie VanOoyen, Jr 22"
24105,Aaron Benson,Aaron Benson,aaron-benson,,,,46 76 Tim Arnoldussen 18
24106,Aaron Bernick,Aaron Bernick,aaron-bernick,,,,47 07c Kevin Charles 16
24107,Aaron Bierman,Aaron Bierman,aaron-bierman,,,,48 3g Tom Grotenhaus 15
24108,Aaron Bilek,Aaron Bilek,aaron-bilek,,,,49 21 Chris Lange 12
24109,Aaron Bitzan,Aaron Bitzan,aaron-bitzan,,,,50 14x Racer x 11
24110,Aaron Blacklance,Aaron Blacklance,aaron-blacklance,,,,51 60u Ray Uimari  11
24111,Aaron Butterbrodt,Aaron Butterbrodt,aaron-butterbrodt,,,,52 97m Steve Moskovich  10 53 2  Travis Van Straten 5
24112,Aaron Cain,Aaron Cain,aaron-cain,,,,
24113,Aaron Carlson,Aaron Carlson,aaron-carlson,,,,
