Seymour Speedway,7/17/2013,,,,,,,,,,,,
1,Scott Stewart,,,,,,,Steve Lunderby,,,,,DNQ
2,Kyle Frederick,,,,,,,Tyler Derenne,,,,,DNQ
3,John Heinz,,,,,,,Dave Bouche,,,,,DNQ
4,Jeremy Wiitala,,,,,,,Scott Reinhardt,,,,,DNQ
5,Devin Snellenberger,,,,,,,Danny Gracyalny,,,,,DNQ
6,Luke Lemmens,,,,,,,Jeremy Kazynski,,,,,DNQ
7,Dan Michonski,,,,,,,Jake Lunderby,,,,,DNQ
8,Harley Simon,,,,,,,David Hoerning,,,,,DNQ
9,Dustin Loberger,,,,,,,Wade Voegtline,,,,,DNQ
10,"Larry Karcz, Jr.",,,,,,,Tony Bouche,,,,,DNQ
11,Troy Muench,,,,,,,Chris Lowenhagen,,,,,DNQ
12,Eric Arneson,,,,,,,Brandon Gagnon,,,,,DNQ
13,Logan Rhode,,,,,,,Dave DeGrave,,,,,DNQ
14,Gary Kasperek,,,,,,,Larry Parshen,,,,,DNQ
15,Mark Schunemann,,,,,,,Kevin Hebbe,,,,,DNQ
16,Justin Jacobson,,,,,,,,,,,,
17,Tyler Smith,,,,,,,,,,,,
18,Jerry Leary,,,,,,,,,,,,
19,Mike Schmidt,,,,,,,,,,,,
20,Rod Snellenberger,,,,,,,,,,,,
21,John Mahlberg,,,,,,,,,,,,
22,Jamie Suchocki,,,,,,,,,,,,
23,Shawn Havel,,,,,,,,,,,,
24,Greg Gutt,,,,,,,,,,,,
,,,,,,,,,,,,,
Door County Speedway,7/18/2013,,,,,,,,,,,,
1,Rod Snellenberger,,,,,,,Scott Stewart,,,,,DNQ
2,Dan Michonski,,,,,,,Casey Groessel,,,,,DNQ
3,Mark Schunemann,,,,,,,Brandon Gagnon,,,,,DNQ
4,Billy Lemieux,,,,,,,Jerry Leary,,,,,DNQ
5,Eric Arneson,,,,,,,Chris Lowenhagen,,,,,DNQ
6,Justin Jacobson,,,,,,,Tony Bouche,,,,,DNQ
7,Jamie Suchocki,,,,,,,Dave DeGrave,,,,,DNQ
8,"Larry Karcz, Jr.",,,,,,,Jeremy Kazynski,,,,,DNQ
9,Logan Rhode,,,,,,,Tyler Derenne,,,,,DNQ
10,Tyler Smith,,,,,,,Steve Lunderby,,,,,DNQ
11,Scott Reinhardt,,,,,,,John Mahlberg,,,,,DNQ
12,Mike Schmidt,,,,,,,Jake Lunderby,,,,,DNQ
13,Devin Snellenberger,,,,,,,Wade Voegtline,,,,,DNQ
14,John Heinz,,,,,,,Kevin Hebbe,,,,,DNQ
15,Danny Gracyalny,,,,,,,,,,,,
16,Dave Bouche,,,,,,,,,,,,
17,Luke Lemmens,,,,,,,,,,,,
18,David Hoerning,,,,,,,,,,,,
19,Dustin Loberger,,,,,,,,,,,,
20,Shawn Havel,,,,,,,,,,,,
21,Kyle Frederick,,,,,,,,,,,,
22,Jeremy Wiitala,,,,,,,,,,,,
23,Harley Simon,,,,,,,,,,,,
24,Greg Gutt,,,,,,,,,,,,
,,,,,,,,,,,,,
Oshkosh Speed Zone ,7/19/2013,,,,,,,,,,,,
1,Rod Snellenberger,,,,,,,Mike Schmidt,,,,,DNQ
2,Brandon Czarapata,,,,,,,Kevin Hebbe,,,,,DNQ
3,Kyle Frederick,,,,,,,Chris Lowenhagen,,,,,DNQ
4,Dave Bouche,,,,,,,Josh Roehl,,,,,DNQ
5,John Heinz,,,,,,,Michael Olsen,,,,,DNQ
6,Dustin Loberger,,,,,,,Wade Voegtline,,,,,DNQ
7,Devin Snellenberger,,,,,,,Larry Parshen,,,,,DNQ
8,Justin Jacobson,,,,,,,Luke Lemmens,,,,,DNQ
9,Jerry Leary,,,,,,,John Mahlberg,,,,,DNQ
10,Harley Simon,,,,,,,Tony Bouche,,,,,DNQ
11,Shawn Havel,,,,,,,Steve Lunderby,,,,,DNQ
12,"Larry Karcz, Jr.",,,,,,,,,,,,
13,Eric Arneson,,,,,,,,,,,,
14,Tyler Smith,,,,,,,,,,,,
15,Dave DeGrave,,,,,,,,,,,,
16,Dan Michonski,,,,,,,,,,,,
17,Scott Stewart,,,,,,,,,,,,
18,David Hoerning,,,,,,,,,,,,
19,Mark Schuenemann,,,,,,,,,,,,
20,Jeremy Kazynski,,,,,,,,,,,,
21,Barry Van Straten,,,,,,,,,,,,
22,Jake Lunderby,,,,,,,,,,,,
23,Tyler Derenne,,,,,,,,,,,,
24,Jamie Suchocki,,,,,,,,,,,,
,,,,,,,,,,,,,
141 Speedway,7/24/2013,,,,,,,,,,,,
1,Tyler Smith,,,,,,,Casey Groessel,,,,,DNQ
2,Dave DeGrave,,,,,,,Tony Bouche,,,,,DNQ
3,Matt Vetting,,,,,,,John Adams,,,,,DNQ
4,Justin Jacobson,,,,,,,Chris Lowenhagen,,,,,DNQ
5,Luke Lemmens,,,,,,,Larry Parshen,,,,,DNQ
6,Scott Stewart,,,,,,,Larry Ingebretsen,,,,,DNQ
7,Dave Bouche,,,,,,,Jerry Leary,,,,,DNQ
8,Dan Michonski,,,,,,,Tyler Derenne,,,,,DNQ
9,Jeremy Wiitala,,,,,,,Mike Schmidt,,,,,DNQ
10,Eric Arneson,,,,,,,Devin Snellenberger,,,,,DNQ
11,Dustin Loberger,,,,,,,Kevin Hebbe,,,,,DNQ
12,Mark Schunemann,,,,,,,Greg Gutt,,,,,DNQ
13,Bret Koehler,,,,,,,Wade Voegtline,,,,,DNQ
14,Todd Augustian,,,,,,,Michael Olsen,,,,,DNQ
15,"Larry Karcz, Jr.",,,,,,,Paul White,,,,,DNQ
16,John Mahlberg,,,,,,,Jamie Suchocki,,,,,DNQ
17,Brandon Gagnon,,,,,,,,,,,,
18,David Hoerning,,,,,,,,,,,,
19,Kyle Frederick,,,,,,,,,,,,
20,Jeremy Kazynski,,,,,,,,,,,,
21,Scott Reinhardt,,,,,,,,,,,,
22,Mike Gilson,,,,,,,,,,,,
23,Rick Mahlberg,,,,,,,,,,,,
24,Rod Snellenberger,,,,,,,,,,,,
